Conc_Asp_250_(mM),Conc_Lys_100_(mM),Conc_NaCl_(mM),Phase,Barcode
6.0,7.2,800.0,-1,533171LQ77R8
0.125,0.0625,1000.0,-1,177745J96RAA
7.6,0.0625,900.0,-1,777147GZ7VDC
0.0625,6.4,1100.0,-1,337451DAPH26
3.6,3.2,900.0,-1,445317BAU6UT
7.6,4.0,900.0,-1,774431VQJPOM
2.8,7.6,800.0,-1,517457R22U25
4.4,0.0625,900.0,-1,4771475IVFGI
0.3,3.2,1000.0,-1,317111XJLE9C
6.0,2.0,800.0,-1,777474IZJTJH
4.0,5.6,1000.0,-1,753137N95XS0
2.4,1.2,1000.0,-1,175174OMXK9Z
2.0,4.8,900.0,-1,5343177588WM
7.6,7.6,1100.0,-1,341714GQMLIM
5.6,4.4,800.0,-1,4571152FKFK5
7.6,6.0,800.0,-1,7745559FZSXA
4.4,7.6,1000.0,-1,471713429BEC
1.6,7.6,1100.0,-1,777737LRJWW5
