Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase,Barcode
2.4,6.8,1100.0,-1,020626C1IODF
7.6,0.125,900.0,-1,416082BX96LX
0.125,0.0625,900.0,-1,022820HO4DQA
7.6,5.2,1500.0,-1,602028TIU8P7
4.0,2.4,1100.0,-1,022202U0BDKQ
0.0625,4.0,800.0,-1,002044SRB145
6.0,7.6,1500.0,-1,726627ECEATK
6.8,2.8,1200.0,-1,214702NNSNF6
2.8,0.0625,1100.0,-1,626767OA30FV
4.4,5.2,1200.0,-1,012812RUHUAD
0.125,7.6,900.0,-1,660024VN2462
1.6,2.4,1000.0,-1,284122Z392US
5.2,0.3,1100.0,-1,806168QEYBQY
2.0,4.8,1000.0,-1,022222434I4Z
5.2,3.6,1200.0,-1,647682SW6ZKJ
0.8,6.0,900.0,-1,722227Z0M9OJ
