,Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
0,5.6,2.4,100.0,1
1,4.8,3.2,100.0,1
2,4.0,4.0,100.0,1
3,3.2,4.8,100.0,1
4,2.4,5.6,100.0,1
5,4.0,2.0,100.0,1
6,4.0,1.0,100.0,1
7,2.0,4.0,100.0,1
8,2.0,2.0,100.0,1
9,2.0,1.0,100.0,1
10,1.0,4.0,100.0,1
11,1.0,2.0,100.0,1
12,1.0,1.0,100.0,1
13,2.4,1.6,100.0,1
14,2.4,1.6,300.0,1
15,2.4,1.6,600.0,1
16,2.4,1.6,1000.0,0
17,1.2,0.8,100.0,1
18,1.2,0.8,300.0,1
19,1.2,0.8,600.0,1
20,1.2,0.8,1000.0,0
21,0.6,0.4,100.0,1
22,0.6,0.4,300.0,1
23,0.6,0.4,600.0,1
24,0.6,0.4,1000.0,1
25,0.3,0.2,100.0,1
26,0.3,0.2,300.0,1
27,0.3,0.2,600.0,1
28,0.3,0.2,1000.0,1
29,1.0,1.0,500.0,1
30,1.0,1.0,1000.0,0
31,1.0,1.0,1500.0,0
32,1.0,1.0,2000.0,0
33,0.5,0.5,500.0,1
34,0.5,0.5,1000.0,1
35,0.5,0.5,1500.0,0
36,0.5,0.5,2000.0,0
37,0.25,0.25,500.0,1
38,0.25,0.25,1000.0,1
39,0.25,0.25,1500.0,0
40,0.25,0.25,2000.0,0
41,0.125,0.125,500.0,1
42,0.125,0.125,1000.0,1
43,0.125,0.125,1500.0,0
44,0.125,0.125,2000.0,0
45,0.0625,0.0625,500.0,0
46,0.0625,0.0625,1000.0,0
47,0.0625,0.0625,100.0,-1
48,0.0625,0.0625,300.0,-1
49,0.0625,0.0625,600.0,-1
50,0.0625,0.0625,800.0,-1
51,0.0625,0.0625,900.0,0
52,0.0625,0.0625,1100.0,-1
53,0.0625,0.0625,1200.0,-1
54,0.0625,0.0625,1500.0,-1
55,0.0625,0.0625,2000.0,-1
56,0.125,0.0625,100.0,-1
57,0.125,0.0625,300.0,-1
58,0.125,0.0625,500.0,-1
59,0.125,0.0625,600.0,-1
60,0.125,0.0625,800.0,-1
61,0.125,0.0625,900.0,-1
62,0.125,0.0625,1000.0,0
63,0.125,0.0625,1100.0,-1
64,0.125,0.0625,1200.0,-1
65,0.125,0.0625,1500.0,-1
66,0.125,0.0625,2000.0,-1
67,0.25,0.0625,100.0,-1
68,0.25,0.0625,300.0,-1
69,0.25,0.0625,500.0,-1
70,0.25,0.0625,600.0,-1
71,0.25,0.0625,800.0,-1
72,0.25,0.0625,900.0,-1
73,0.25,0.0625,1000.0,-1
74,0.25,0.0625,1100.0,-1
75,0.25,0.0625,1200.0,-1
76,0.25,0.0625,1500.0,-1
77,0.25,0.0625,2000.0,-1
78,0.3,0.0625,100.0,-1
