Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
5.6,2.4,100.0,1
4.8,3.2,100.0,1
4.0,4.0,100.0,1
3.2,4.8,100.0,1
2.4,5.6,100.0,1
4.0,2.0,100.0,1
4.0,1.0,100.0,1
2.0,4.0,100.0,1
2.0,2.0,100.0,1
2.0,1.0,100.0,1
1.0,4.0,100.0,1
1.0,2.0,100.0,1
1.0,1.0,100.0,1
2.4,1.6,100.0,1
2.4,1.6,300.0,1
2.4,1.6,600.0,1
2.4,1.6,1000.0,0
1.2,0.8,100.0,1
1.2,0.8,300.0,1
1.2,0.8,600.0,1
1.2,0.8,1000.0,0
0.6,0.4,100.0,1
0.6,0.4,300.0,1
0.6,0.4,600.0,1
0.6,0.4,1000.0,1
0.3,0.2,100.0,1
0.3,0.2,300.0,1
0.3,0.2,600.0,1
0.3,0.2,1000.0,1
1.0,1.0,500.0,1
1.0,1.0,1000.0,0
1.0,1.0,1500.0,0
1.0,1.0,2000.0,0
0.5,0.5,500.0,1
0.5,0.5,1000.0,1
0.5,0.5,1500.0,0
0.5,0.5,2000.0,0
0.25,0.25,500.0,1
0.25,0.25,1000.0,1
0.25,0.25,1500.0,0
0.25,0.25,2000.0,0
0.125,0.125,500.0,1
0.125,0.125,1000.0,1
0.125,0.125,1500.0,0
0.125,0.125,2000.0,0
0.0625,0.0625,500.0,0
0.0625,0.0625,1000.0,0
