Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
5.3,4.5,1650.0,-1,111937U7NTVK
0.1,0.1,50.0,-1,972712EYRRRJ
1.7,8.1,50.0,-1,293237FC0374
8.1,0.5,50.0,-1,1871874E53R8
0.1,0.1,2050.0,-1,2387283GKCH1
8.1,8.1,450.0,-1,2733198TREPK
0.1,8.1,2050.0,-1,8177777DJMLB
0.1,4.1,1050.0,-1,917977HMD744
8.1,0.1,2050.0,-1,711721580Q2L
4.1,0.1,950.0,-1,733287FWG7GN
4.1,3.7,50.0,-1,121777X54N9R
8.1,8.1,2050.0,-1,2727179BWXZZ
3.3,8.1,1150.0,-1,137922TVX1D0
8.1,3.7,850.0,-1,8313973J7Y1L
1.3,4.1,2050.0,-1,733122NO6JK4
4.1,0.9,2050.0,-1,331212Y1IPBA
