,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
0,0.1,0.1,0
1,0.2,0.1,-1
2,0.3,0.1,-1
3,0.4,0.1,-1
4,0.5,0.1,-1
5,0.6,0.1,-1
6,0.7,0.1,-1
7,0.8,0.1,-1
8,0.9,0.1,-1
9,1.0,0.1,-1
10,1.1,0.1,-1
11,1.2,0.1,-1
12,1.3,0.1,-1
13,1.4,0.1,-1
14,1.5,0.1,-1
15,1.6,0.1,-1
16,1.7,0.1,-1
17,1.8,0.1,-1
18,1.9,0.1,-1
19,2.0,0.1,-1
20,2.1,0.1,-1
21,2.2,0.1,-1
22,2.3,0.1,-1
23,2.4,0.1,-1
24,2.5,0.1,-1
25,2.6,0.1,-1
26,2.7,0.1,-1
27,2.8,0.1,-1
28,2.9,0.1,-1
29,3.0,0.1,-1
30,3.1,0.1,-1
31,3.2,0.1,-1
32,3.3,0.1,-1
33,3.4,0.1,-1
34,3.5,0.1,-1
35,3.6,0.1,-1
36,3.7,0.1,-1
37,3.8,0.1,-1
38,3.9,0.1,-1
39,4.0,0.1,-1
40,4.1,0.1,-1
41,4.2,0.1,-1
42,4.3,0.1,-1
43,4.4,0.1,-1
44,4.5,0.1,-1
45,4.6,0.1,-1
46,4.7,0.1,-1
47,4.8,0.1,-1
48,4.9,0.1,-1
49,5.0,0.1,-1
50,5.1,0.1,-1
51,5.2,0.1,-1
52,5.3,0.1,-1
53,5.4,0.1,-1
54,5.5,0.1,-1
55,5.6,0.1,-1
56,5.7,0.1,-1
57,5.8,0.1,-1
58,5.9,0.1,-1
59,6.0,0.1,-1
60,6.1,0.1,-1
61,6.2,0.1,-1
62,6.3,0.1,-1
63,6.4,0.1,-1
64,6.5,0.1,-1
65,6.6,0.1,-1
66,6.7,0.1,-1
67,6.8,0.1,-1
68,6.9,0.1,-1
69,7.0,0.1,-1
70,7.1,0.1,-1
71,7.2,0.1,-1
72,7.3,0.1,-1
73,7.4,0.1,-1
74,7.5,0.1,-1
75,7.6,0.1,-1
76,7.7,0.1,-1
77,7.8,0.1,-1
78,7.9,0.1,-1
79,8.0,0.1,-1
80,8.1,0.1,0
81,0.1,0.2,-1
82,0.2,0.2,-1
83,0.3,0.2,-1
84,0.4,0.2,-1
85,0.5,0.2,-1
86,0.6,0.2,-1
87,0.7,0.2,-1
88,0.8,0.2,-1
89,0.9,0.2,-1
90,1.0,0.2,-1
91,1.1,0.2,-1
92,1.2,0.2,-1
93,1.3,0.2,-1
94,1.4,0.2,-1
95,1.5,0.2,-1
96,1.6,0.2,-1
97,1.7,0.2,-1
98,1.8,0.2,-1
