Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
6.1,1.8,1150.0,1
0.1,8.1,200.0,0
0.1,5.4,2050.0,0
0.1,1.0,275.0,1
8.0,8.1,1400.0,0
8.1,3.9,50.0,1
3.0,8.1,1275.0,1
4.7,0.6,50.0,0
1.5,1.8,1375.0,0
2.2,4.5,50.0,0
8.1,0.1,450.0,0
5.4,5.3,1425.0,0
0.1,4.0,725.0,0
3.5,8.0,50.0,0
3.4,0.1,825.0,0
2.1,5.0,1400.0,0
0.2,8.1,1650.0,0
8.1,4.1,1225.0,0
3.9,3.0,1425.0,0
8.1,0.1,1225.0,0
0.2,0.4,925.0,0
2.4,1.9,50.0,1
5.5,7.8,1325.0,1
0.1,3.7,1575.0,1
5.8,0.2,675.0,0
6.9,1.7,75.0,0
0.3,5.7,275.0,1
0.3,3.3,175.0,0
2.1,0.1,375.0,0
7.2,6.2,1225.0,1
0.2,5.9,1525.0,1
2.0,6.9,1625.0,0
