Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
1.9,0.2,425.0,0
8.0,8.1,1350.0,0
0.1,5.7,2050.0,1
1.6,8.1,175.0,1
8.1,3.3,50.0,0
5.7,2.6,1400.0,0
0.1,4.4,875.0,1
3.1,8.1,1325.0,1
8.1,0.1,775.0,0
2.2,4.0,50.0,1
2.0,1.6,1325.0,0
5.1,1.2,50.0,0
2.9,4.8,1475.0,0
4.7,0.1,900.0,0
8.1,4.8,1225.0,1
0.2,8.1,1575.0,0
5.5,6.3,1400.0,0
0.1,3.5,1575.0,0
0.1,2.4,325.0,1
0.1,7.0,675.0,1
0.1,0.8,900.0,1
8.1,2.2,1175.0,1
4.0,7.9,50.0,1
0.7,5.8,1375.0,0
7.4,1.1,250.0,1
0.4,5.1,325.0,1
2.8,1.7,50.0,0
6.6,0.5,1175.0,0
2.6,6.2,50.0,0
2.6,0.3,925.0,1
4.1,1.2,1325.0,0
3.9,0.7,450.0,1
