Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
0.9,7.8,1550.0,-1,515820PJZIYV
8.1,0.5,375.0,-1,151451CVYD1D
0.1,0.1,850.0,-1,211222T92TF5
8.1,7.1,1200.0,-1,118174WXNH13
2.5,5.4,50.0,-1,827011A66GNC
4.6,2.8,1300.0,-1,1124213D1Y7K
0.1,2.6,2050.0,-1,718222JZRU4R
3.6,0.9,100.0,-1,4117582QTPFK
0.1,4.4,925.0,-1,584147NYLSU2
0.1,8.1,400.0,-1,141724C732QW
4.4,6.6,1350.0,-1,5222012OCHHW
8.1,1.4,1300.0,-1,272151XW9OU1
0.3,2.5,150.0,-1,725011TQSOOB
6.3,3.1,50.0,-1,171217NYNJJR
5.2,0.1,825.0,-1,188724G1AB83
4.2,8.1,50.0,-1,402411ZMCXHZ
1.6,2.2,1300.0,-1,144441IAVCFJ
0.1,5.7,2050.0,-1,717120F6CS5R
7.2,4.3,1300.0,-1,252024638ZTQ
0.1,0.1,1650.0,-1,021022UZUGTL
2.1,5.0,1400.0,-1,0111246P1S5J
2.6,0.6,700.0,-1,202111UA5R0X
0.3,5.6,350.0,-1,725440N768LY
0.1,3.8,1525.0,-1,7772559TGDKI
5.8,1.0,300.0,-1,1112053VQXF5
6.2,8.1,1425.0,-1,2711446DV05O
1.4,0.5,200.0,-1,112142NYTSD7
2.0,7.6,100.0,-1,181111JLLW7U
0.1,5.9,1350.0,-1,815771ZJGOKP
7.4,0.1,900.0,-1,022114854T6A
3.1,8.1,1550.0,-1,575748BWY7I6
0.2,8.0,2050.0,-1,142107JHO785
