Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
5.1,3.4,1250.0,-1,289229QNIYHR
0.1,8.1,275.0,-1,988109FOH1B6
0.1,7.4,2050.0,-1,2909082L07Z7
0.1,0.6,200.0,-1,000109Q6DU66
0.1,0.1,2025.0,-1,492278BEY06T
8.1,2.4,50.0,-1,488009ZVBJPY
8.1,8.1,1350.0,-1,442924ZOTMDK
3.4,8.1,1250.0,-1,808229CMOA23
8.1,0.1,1050.0,-1,082121GLLTPC
0.6,3.8,1400.0,-1,999092NURP3K
4.4,0.4,450.0,-1,219449UPSOXN
2.2,4.4,50.0,-1,928127Q9EA1J
4.0,8.0,50.0,-1,022289LPHWDM
0.7,0.3,1100.0,-1,14227111K7T6
8.1,4.8,1200.0,-1,718794P0BOEE
5.7,6.4,1325.0,-1,920921DAVGMR
3.4,1.2,1100.0,-1,014798XUIQ71
3.0,5.3,1325.0,-1,222201ACHWEM
0.1,2.9,2050.0,-1,288919UZ7W5D
5.3,2.5,50.0,-1,1717085AGWHQ
0.1,5.4,425.0,-1,1702923B82K9
2.6,1.7,50.0,-1,809810P1TNQH
7.1,0.5,450.0,-1,270219A4J0I5
1.1,7.1,1450.0,-1,412492XAGADN
7.4,2.4,1300.0,-1,0089044IEUSI
0.1,3.1,150.0,-1,0202245JV0PG
2.0,0.1,575.0,-1,229999D81P72
5.8,1.0,975.0,-1,884700VP7VME
2.0,6.7,200.0,-1,407982D0WLSL
0.5,5.2,1875.0,-1,488492XJ9YWZ
0.4,1.6,1575.0,-1,120299ZLQB3J
2.7,3.1,1325.0,-1,229418X3VRPY
