Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
4.6,1.2,125.0,1
0.1,8.0,1625.0,1
8.0,0.2,2050.0,0
8.1,7.7,1250.0,0
0.1,0.5,2000.0,1
3.2,8.1,100.0,1
0.2,3.9,675.0,0
4.8,3.6,1300.0,1
7.5,0.4,950.0,0
2.3,0.5,975.0,0
4.0,7.8,1300.0,1
0.7,0.7,75.0,0
7.9,3.2,50.0,0
0.4,4.1,1675.0,0
0.2,7.2,450.0,1
8.1,4.4,1275.0,0
2.1,4.7,50.0,0
2.5,5.3,1300.0,1
0.1,1.7,1300.0,1
7.3,0.6,250.0,0
4.9,1.0,1125.0,1
6.0,5.8,1350.0,1
0.1,0.5,675.0,0
2.4,2.8,1200.0,0
0.1,6.0,975.0,1
5.6,0.1,2050.0,0
6.8,2.3,1250.0,0
0.7,2.9,175.0,0
2.7,0.4,325.0,1
5.7,3.2,50.0,1
1.9,7.4,1375.0,1
6.1,8.1,1350.0,1
