Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
0.8,4.3,1400.0,-1,2184071K3UP7
8.1,0.9,175.0,-1,0024248DLI7O
8.0,7.9,1250.0,-1,2404444E5R69
3.0,8.1,125.0,-1,074128STXREV
1.6,0.8,50.0,-1,843017Y3VGS3
5.8,3.1,1250.0,-1,023781AGEVRT
3.5,8.0,1325.0,-1,843742U11LQ5
0.3,0.1,1100.0,-1,404227IHZZ57
0.2,4.8,325.0,-1,401444OMGN60
0.1,7.6,2025.0,-1,333408YRBYP7
3.6,3.5,2050.0,-1,424143BD5ZFU
4.7,0.3,625.0,-1,440384TWQ67G
8.1,0.4,1125.0,-1,072284J9EYYO
5.3,3.0,50.0,-1,14741265ME0S
2.9,1.8,1225.0,-1,4118448WPAPH
0.1,7.9,375.0,-1,470101VHEHY1
8.1,3.8,50.0,-1,30473487ZQSN
3.7,5.1,1325.0,-1,221241DROVCH
0.1,2.1,575.0,-1,43481484Q5IW
0.1,6.3,950.0,-1,222822J2I9Z7
6.4,5.7,1350.0,-1,428444Z5JR9H
0.7,8.1,1400.0,-1,844138VBOLNI
2.4,5.6,50.0,-1,8712323EGANC
2.0,3.2,50.0,-1,444021SMHGMW
1.9,0.4,650.0,-1,2343745GLUWM
0.1,5.3,1900.0,-1,142247U1ROPA
8.1,2.8,1275.0,-1,807440DXT88M
5.8,0.7,1125.0,-1,2841212XJMC4
3.9,1.2,100.0,-1,821424PEPB7C
0.8,2.4,1100.0,-1,428741NSD04F
5.9,7.8,1375.0,-1,774022Z8EGKV
0.2,4.2,850.0,-1,4248725HRZFY
