Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.1,0.1,50.0,-1
0.1,0.1,125.0,-1
0.1,0.1,200.0,-1
0.1,0.1,275.0,-1
0.1,0.1,350.0,-1
0.1,0.1,425.0,0
0.1,0.1,500.0,-1
0.1,0.1,575.0,-1
0.1,0.1,650.0,-1
0.1,0.1,725.0,-1
0.1,0.1,800.0,0
0.1,0.1,875.0,1
0.1,0.1,950.0,-1
0.1,0.1,1025.0,-1
0.1,0.1,1100.0,1
0.1,0.1,1175.0,1
0.1,0.1,1250.0,0
0.1,0.1,1325.0,-1
0.1,0.1,1400.0,-1
0.1,0.1,1475.0,-1
0.1,0.1,1550.0,-1
0.1,0.1,1625.0,-1
0.1,0.1,1700.0,0
0.1,0.1,1775.0,-1
0.1,0.1,1850.0,-1
0.1,0.1,1925.0,-1
0.1,0.1,2000.0,-1
0.4,0.1,50.0,-1
0.4,0.1,125.0,-1
0.4,0.1,200.0,-1
0.4,0.1,275.0,-1
0.4,0.1,350.0,-1
0.4,0.1,425.0,-1
0.4,0.1,500.0,-1
0.4,0.1,575.0,-1
0.4,0.1,650.0,-1
0.4,0.1,725.0,-1
0.4,0.1,800.0,0
0.4,0.1,875.0,-1
0.4,0.1,950.0,-1
0.4,0.1,1025.0,0
0.4,0.1,1100.0,-1
0.4,0.1,1175.0,-1
0.4,0.1,1250.0,-1
0.4,0.1,1325.0,-1
0.4,0.1,1400.0,-1
0.4,0.1,1475.0,-1
0.4,0.1,1550.0,-1
0.4,0.1,1625.0,-1
0.4,0.1,1700.0,-1
0.4,0.1,1775.0,-1
0.4,0.1,1850.0,-1
0.4,0.1,1925.0,-1
0.4,0.1,2000.0,-1
0.7,0.1,50.0,-1
0.7,0.1,125.0,-1
0.7,0.1,200.0,-1
0.7,0.1,275.0,0
0.7,0.1,350.0,-1
0.7,0.1,425.0,-1
0.7,0.1,500.0,-1
0.7,0.1,575.0,-1
0.7,0.1,650.0,-1
0.7,0.1,725.0,-1
0.7,0.1,800.0,-1
0.7,0.1,875.0,-1
0.7,0.1,950.0,-1
0.7,0.1,1025.0,-1
0.7,0.1,1100.0,-1
0.7,0.1,1175.0,-1
0.7,0.1,1250.0,-1
0.7,0.1,1325.0,-1
0.7,0.1,1400.0,-1
0.7,0.1,1475.0,-1
0.7,0.1,1550.0,-1
0.7,0.1,1625.0,-1
0.7,0.1,1700.0,-1
0.7,0.1,1775.0,-1
0.7,0.1,1850.0,-1
0.7,0.1,1925.0,-1
0.7,0.1,2000.0,-1
1.0,0.1,50.0,-1
1.0,0.1,125.0,-1
1.0,0.1,200.0,-1
1.0,0.1,275.0,-1
1.0,0.1,350.0,-1
1.0,0.1,425.0,-1
1.0,0.1,500.0,-1
1.0,0.1,575.0,-1
1.0,0.1,650.0,-1
1.0,0.1,725.0,-1
1.0,0.1,800.0,-1
1.0,0.1,875.0,-1
1.0,0.1,950.0,-1
1.0,0.1,1025.0,-1
1.0,0.1,1100.0,-1
1.0,0.1,1175.0,-1
1.0,0.1,1250.0,-1
1.0,0.1,1325.0,-1
1.0,0.1,1400.0,-1
1.0,0.1,1475.0,-1
1.0,0.1,1550.0,-1
1.0,0.1,1625.0,-1
1.0,0.1,1700.0,-1
1.0,0.1,1775.0,-1
1.0,0.1,1850.0,-1
1.0,0.1,1925.0,-1
1.0,0.1,2000.0,-1
1.3,0.1,50.0,-1
1.3,0.1,125.0,-1
1.3,0.1,200.0,-1
1.3,0.1,275.0,-1
1.3,0.1,350.0,-1
1.3,0.1,425.0,-1
1.3,0.1,500.0,-1
1.3,0.1,575.0,-1
1.3,0.1,650.0,-1
1.3,0.1,725.0,-1
1.3,0.1,800.0,-1
1.3,0.1,875.0,-1
1.3,0.1,950.0,-1
1.3,0.1,1025.0,-1
1.3,0.1,1100.0,-1
1.3,0.1,1175.0,-1
1.3,0.1,1250.0,-1
1.3,0.1,1325.0,-1
1.3,0.1,1400.0,-1
1.3,0.1,1475.0,-1
1.3,0.1,1550.0,-1
1.3,0.1,1625.0,-1
1.3,0.1,1700.0,-1
1.3,0.1,1775.0,-1
1.3,0.1,1850.0,-1
1.3,0.1,1925.0,-1
1.3,0.1,2000.0,-1
