Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
4.5,0.1,2050.0,0
7.7,8.1,50.0,1
6.1,8.1,2050.0,0
0.1,0.9,350.0,1
8.1,0.5,250.0,0
1.3,4.5,1450.0,0
8.1,4.1,1350.0,0
2.9,8.1,150.0,1
4.5,0.5,950.0,1
8.1,1.3,2050.0,0
3.3,3.3,2050.0,0
6.5,3.3,50.0,1
4.1,0.9,150.0,1
8.1,5.7,2050.0,0
0.1,2.5,950.0,1
6.9,0.9,1150.0,0
8.1,5.3,50.0,1
6.1,0.1,550.0,0
8.1,7.7,550.0,1
8.1,3.7,1950.0,0
8.1,7.7,1950.0,0
8.1,0.1,750.0,0
6.5,0.1,2050.0,0
8.1,2.1,1350.0,0
2.9,0.9,1150.0,0
6.5,1.3,150.0,1
1.7,2.5,2050.0,0
4.1,0.1,550.0,0
8.1,2.1,150.0,1
0.9,4.5,1050.0,1
8.1,6.5,250.0,1
6.9,6.9,2050.0,0
