Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase,Barcode
6.1,0.5,250.0,-1,068061CTPZUU
0.5,7.3,2050.0,-1,711764UJBF2U
4.1,8.1,50.0,-1,117701X3BV5X
0.1,0.9,1150.0,-1,181788IOKJ0W
7.3,6.1,1350.0,-1,446178OJX2Y9
1.3,3.3,50.0,-1,8666867F9JAT
2.9,4.9,1250.0,-1,617768DG25LR
8.1,1.7,1350.0,-1,7801881Y25R0
0.1,6.9,550.0,-1,8118780Q8C0D
0.1,1.7,2050.0,-1,810148ROW4PN
3.7,0.5,950.0,-1,444878L8YUHF
4.5,8.1,1350.0,-1,78461848AVF6
2.9,0.5,150.0,-1,818888VNV4F6
7.3,3.3,50.0,-1,708864SOHLOE
0.1,4.5,1750.0,-1,7688884BZIMV
5.7,3.3,1250.0,-1,448888XX7NJW
1.7,8.1,1350.0,-1,8786068H0R1X
2.5,5.7,50.0,-1,8717681ESHBZ
0.5,0.5,450.0,-1,887447ZPZ4E7
4.5,2.5,50.0,-1,846481YSZS9U
0.1,4.1,550.0,-1,817446EUM5JR
0.9,3.3,1250.0,-1,747601VPJVBU
6.1,0.5,1050.0,-1,7706606SRW95
8.1,1.3,150.0,-1,1467485KG8K1
1.3,7.7,150.0,-1,8048818DVBLD
8.1,0.5,850.0,-1,881448LMC56C
0.5,6.5,1550.0,-1,886087SNLVH9
4.9,6.1,1350.0,-1,080076GFBG6U
6.9,8.1,1350.0,-1,878888Z6HB97
0.1,2.1,250.0,-1,760807YMAGCP
3.7,3.3,1250.0,-1,07801062MSU0
6.5,0.1,650.0,-1,068848RBCP9G
