Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,0,0,0.6481949882220874,0.35180501177791257
0.2,0.1,-1,0,0.6671420280295024,0.3328579719704976
0.3,0.1,-1,0,0.6891253543540756,0.3108746456459244
0.4,0.1,-1,0,0.7142463493726723,0.2857536506273277
0.5,0.1,0,0,0.7422283705907944,0.2577716294092056
0.6,0.1,-1,0,0.7722239847954597,0.22777601520454027
0.7,0.1,-1,0,0.8027409946956823,0.19725900530431772
0.8,0.1,-1,0,0.8318648271861093,0.16813517281389068
0.9,0.1,0,0,0.8578184899906773,0.14218151000932266
1.0,0.1,-1,0,0.8795764738422349,0.12042352615776508
1.1,0.1,-1,0,0.8970987742962961,0.10290122570370386
1.2,0.1,-1,0,0.9110628227858797,0.08893717721412031
1.3,0.1,-1,0,0.9223795567075967,0.07762044329240325
1.4,0.1,-1,0,0.9318195241526155,0.06818047584738451
1.5,0.1,-1,0,0.9398583364570641,0.06014166354293593
1.6,0.1,-1,0,0.9466894007822475,0.0533105992177525
1.7,0.1,-1,0,0.9523172686523367,0.04768273134766332
1.8,0.1,-1,0,0.9566656867020811,0.043334313297918925
1.9,0.1,-1,0,0.9596612209742261,0.040338779025773874
2.0,0.1,-1,0,0.9612773837617397,0.03872261623826034
2.1,0.1,-1,0,0.9615448936546045,0.03845510634539551
2.2,0.1,-1,0,0.9605448123442102,0.039455187655789814
2.3,0.1,-1,0,0.9583989595223557,0.04160104047764435
2.4,0.1,-1,0,0.9552622655584173,0.04473773444158269
2.5,0.1,-1,0,0.9513146388409268,0.04868536115907318
2.6,0.1,-1,0,0.9467496234935879,0.05325037650641207
2.7,0.1,-1,0,0.9417604808691067,0.058239519130893314
2.8,0.1,-1,0,0.9365267651340901,0.06347323486590994
2.9,0.1,0,0,0.9312043297366017,0.06879567026339828
3.0,0.1,-1,0,0.9259200404757166,0.07407995952428337
3.1,0.1,-1,0,0.9207708256680007,0.07922917433199927
3.2,0.1,-1,0,0.9158258168411066,0.08417418315889336
3.3,0.1,-1,0,0.9111301971377088,0.08886980286229118
3.4,0.1,-1,0,0.9067096485246111,0.09329035147538889
3.5,0.1,-1,0,0.9025746761089977,0.09742532389100234
3.6,0.1,-1,0,0.8987244263822731,0.10127557361772688
3.7,0.1,-1,0,0.8951498537624047,0.10485014623759525
3.8,0.1,-1,0,0.8918362318142954,0.10816376818570461
3.9,0.1,-1,0,0.8887650773473297,0.11123492265267032
4.0,0.1,-1,0,0.885915582807911,0.11408441719208895
4.1,0.1,0,0,0.8832656548241857,0.11673434517581427
4.2,0.1,-1,0,0.8807926471250767,0.11920735287492334
4.3,0.1,-1,0,0.8784738620388453,0.12152613796115475
4.4,0.1,-1,0,0.8762868803279389,0.12371311967206111
4.5,0.1,-1,0,0.8742097661303205,0.12579023386967947
4.6,0.1,-1,0,0.8722211828892341,0.12777881711076589
4.7,0.1,-1,0,0.8703004474521094,0.12969955254789056
4.8,0.1,-1,0,0.8684275427057173,0.13157245729428269
4.9,0.1,-1,0,0.8665831039555769,0.13341689604442308
5.0,0.1,-1,0,0.8647483903208695,0.13525160967913052
5.1,0.1,-1,0,0.8629052495423366,0.1370947504576634
5.2,0.1,-1,0,0.8610360824098962,0.13896391759010385
5.3,0.1,-1,0,0.8591238114295265,0.14087618857047346
5.4,0.1,-1,0,0.8571518571275192,0.14284814287248082
5.5,0.1,-1,0,0.8551041245000306,0.1448958754999694
5.6,0.1,-1,0,0.8529650013487071,0.14703499865129288
5.7,0.1,-1,0,0.8507193696786999,0.14928063032130012
5.8,0.1,-1,0,0.8483526307749116,0.15164736922508837
5.9,0.1,-1,0,0.8458507440941503,0.1541492559058497
6.0,0.1,-1,0,0.8432002796193956,0.1567997203806044
6.1,0.1,-1,0,0.8403884828326227,0.15961151716737731
6.2,0.1,-1,0,0.8374033509825267,0.16259664901747328
6.3,0.1,-1,0,0.8342337188290685,0.1657662811709315
6.4,0.1,-1,0,0.8308693515764389,0.16913064842356107
6.5,0.1,-1,0,0.8273010422884681,0.17269895771153188
6.6,0.1,-1,0,0.8235207107185261,0.17647928928147394
6.7,0.1,-1,0,0.8195215002341456,0.1804784997658544
6.8,0.1,-1,0,0.8152978694042758,0.18470213059572416
6.9,0.1,-1,0,0.8108456748417439,0.18915432515825614
7.0,0.1,-1,0,0.806162242141113,0.19383775785888702
7.1,0.1,-1,0,0.8012464221078517,0.19875357789214831
7.2,0.1,-1,0,0.796098630089773,0.203901369910227
7.3,0.1,-1,0,0.7907208669064403,0.20927913309355972
7.4,0.1,-1,0,0.7851167206940772,0.21488327930592277
7.5,0.1,-1,0,0.7792913498392409,0.22070865016075913
7.6,0.1,-1,0,0.773251448020801,0.22674855197919896
7.7,0.1,-1,0,0.7670051931128228,0.23299480688717722
7.8,0.1,-1,0,0.7605621823075808,0.23943781769241923
7.9,0.1,-1,0,0.7539333562135653,0.24606664378643472
8.0,0.1,-1,0,0.7471309148369301,0.25286908516306994
8.1,0.1,0,0,0.7401682282669526,0.2598317717330474
0.1,0.2,-1,0,0.6443514814552032,0.35564851854479684
0.2,0.2,-1,0,0.6614419374743079,0.3385580625256921
0.3,0.2,-1,0,0.6816470395104375,0.3183529604895625
0.4,0.2,-1,0,0.7053150870731884,0.29468491292681165
0.5,0.2,-1,0,0.7324937574916248,0.2675062425083752
0.6,0.2,-1,0,0.762645249659613,0.237354750340387
0.7,0.2,-1,0,0.7943804135630899,0.20561958643691014
0.8,0.2,-1,0,0.8254860107800823,0.17451398921991768
0.9,0.2,-1,0,0.8535241981667241,0.1464758018332759
1.0,0.2,-1,0,0.8768250516262697,0.12317494837373033
1.1,0.2,-1,0,0.895118553160728,0.10488144683927203
1.2,0.2,-1,0,0.9092968978134195,0.09070310218658051
1.3,0.2,-1,0,0.9206617220178259,0.07933827798217408
