Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,-1,0,0.7313931319145013,0.2686068680854987
0.2,0.1,-1,0,0.7414257370860469,0.25857426291395313
0.3,0.1,-1,0,0.7534527586466311,0.24654724135336892
0.4,0.1,-1,0,0.7676359893089284,0.2323640106910716
0.5,0.1,-1,0,0.7840301043547697,0.21596989564523028
0.6,0.1,-1,0,0.8025336159591916,0.1974663840408084
0.7,0.1,0,0,0.8228458571874171,0.1771541428125829
0.8,0.1,-1,0,0.844444648269814,0.15555535173018598
0.9,0.1,-1,0,0.8666010316790107,0.1333989683209893
1.0,0.1,-1,0,0.8884428988991431,0.11155710110085693
1.1,0.1,-1,0,0.9090663004907356,0.09093369950926444
1.2,0.1,-1,0,0.9276737966727069,0.07232620332729311
1.3,0.1,-1,0,0.943701748514286,0.05629825148571399
1.4,0.1,-1,0,0.9568950400922631,0.043104959907736884
1.5,0.1,-1,0,0.9673052815858227,0.03269471841417726
1.6,0.1,-1,0,0.9752199967590514,0.024780003240948645
1.7,0.1,-1,0,0.9810568174336822,0.018943182566317773
1.8,0.1,-1,0,0.9852626838511469,0.014737316148853097
1.9,0.1,-1,0,0.9882440232302088,0.011755976769791232
2.0,0.1,-1,0,0.9903334048701709,0.009666595129829147
2.1,0.1,-1,0,0.991784100519908,0.008215899480092048
2.2,0.1,-1,0,0.9927799580366354,0.007220041963364565
2.3,0.1,-1,0,0.9934505225526209,0.006549477447379104
2.4,0.1,-1,0,0.9938856734044066,0.006114326595593411
2.5,0.1,-1,0,0.994147492605407,0.005852507394592976
2.6,0.1,-1,0,0.9942790276563755,0.005720972343624453
2.7,0.1,-1,0,0.9943104207387705,0.005689579261229483
2.8,0.1,-1,0,0.9942630644337669,0.0057369355662331145
2.9,0.1,-1,0,0.99415237352639,0.005847626473610035
3.0,0.1,-1,0,0.9939896221579829,0.006010377842017078
3.1,0.1,-1,0,0.9937831629024458,0.006216837097554162
