Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,0,0,0.8648487635889524,0.13515123641104765
0.2,0.1,-1,0,0.8588892227697897,0.14111077723021026
0.3,0.1,-1,0,0.8516369823008745,0.14836301769912552
0.4,0.1,0,0,0.8435482310811722,0.15645176891882784
0.5,0.1,-1,0,0.8353060984235299,0.16469390157647013
0.6,0.1,-1,0,0.8277360671750102,0.17226393282498975
0.7,0.1,-1,0,0.8216726497607851,0.17832735023921487
0.8,0.1,-1,0,0.8178236719887764,0.18217632801122363
0.9,0.1,-1,0,0.8166754951361099,0.18332450486389007
1.0,0.1,-1,0,0.8184562757976437,0.18154372420235632
1.1,0.1,-1,0,0.8231478888653783,0.17685211113462174
1.2,0.1,-1,0,0.8305260070436589,0.16947399295634114
1.3,0.1,-1,0,0.8402106344150297,0.15978936558497026
1.4,0.1,-1,0,0.851717150701802,0.14828284929819802
1.5,0.1,-1,0,0.8645041180731141,0.13549588192688589
1.6,0.1,-1,0,0.8780169085106309,0.12198309148936914
1.7,0.1,-1,0,0.8917264894942036,0.10827351050579637
1.8,0.1,-1,0,0.9051619712200818,0.0948380287799182
1.9,0.1,-1,0,0.9179349631290279,0.08206503687097211
2.0,0.1,-1,0,0.9297540150596433,0.07024598494035672
2.1,0.1,-1,0,0.9404284639039133,0.059571536096086675
2.2,0.1,-1,0,0.9498624960331199,0.050137503966880104
2.3,0.1,-1,0,0.9580416296148542,0.04195837038514583
2.4,0.1,-1,0,0.9650146697152877,0.03498533028471229
2.5,0.1,-1,0,0.9708743015995651,0.029125698400434885
2.6,0.1,-1,0,0.9757389559131298,0.024261044086870243
2.7,0.1,-1,0,0.9797376786902987,0.020262321309701292
2.8,0.1,-1,0,0.9829987805585461,0.01700121944145394
2.9,0.1,-1,0,0.9856422544187353,0.01435774558126468
3.0,0.1,0,0,0.9877754449759095,0.012224555024090478
3.1,0.1,-1,0,0.9894912230761292,0.010508776923870755
3.2,0.1,-1,0,0.9908678959540111,0.009132104045988854
3.3,0.1,-1,0,0.9919701866951982,0.008029813304801792
3.4,0.1,-1,0,0.9928507698090243,0.007149230190975686
3.5,0.1,-1,0,0.9935520059228793,0.006447994077120711
3.6,0.1,-1,0,0.994107651119748,0.00589234888025203
3.7,0.1,-1,0,0.99454441658429,0.0054555834157099525
3.8,0.1,-1,0,0.9948833229967704,0.005116677003229597
3.9,0.1,-1,0,0.995140837226586,0.0048591627734140275
4.0,0.1,-1,0,0.9953298032381781,0.004670196761821899
4.1,0.1,-1,0,0.9954601907924143,0.004539809207585677
4.2,0.1,-1,0,0.9955396894000614,0.004460310599938566
4.3,0.1,-1,0,0.9955741744360012,0.004425825563998842
4.4,0.1,-1,0,0.9955680695890123,0.004431930410987661
4.5,0.1,-1,0,0.9955246263522213,0.004475373647778724
4.6,0.1,-1,0,0.995446137733552,0.00455386226644805
4.7,0.1,-1,0,0.9953341002794787,0.004665899720521338
4.8,0.1,-1,0,0.9951893359329915,0.004810664067008474
4.9,0.1,-1,0,0.995012083317647,0.004987916682352989
5.0,0.1,-1,0,0.9948020666055299,0.005197933394470056
5.1,0.1,-1,0,0.994558549215526,0.005441450784474
5.2,0.1,-1,0,0.99428037899213,0.005719621007870046
5.3,0.1,-1,0,0.9939660312114711,0.0060339687885289095
5.4,0.1,-1,0,0.9936136555102166,0.006386344489783369
5.5,0.1,-1,0,0.9932211325591425,0.006778867440857539
5.6,0.1,-1,0,0.992786145758032,0.007213854241967965
5.7,0.1,-1,0,0.9923062722428995,0.0076937277571005325
5.8,0.1,-1,0,0.9917790959116246,0.008220904088375391
5.9,0.1,-1,0,0.9912023427909844,0.008797657209015597
6.0,0.1,-1,0,0.9905740359185984,0.009425964081401617
6.1,0.1,-1,0,0.9898926630935421,0.010107336906457931
6.2,0.1,-1,0,0.9891573466752561,0.010842653324743878
6.3,0.1,-1,0,0.9883680007068278,0.011631999293172157
6.4,0.1,-1,0,0.987525457691504,0.012474542308495984
6.5,0.1,-1,0,0.986631546225567,0.013368453774432965
6.6,0.1,-1,0,0.9856891020332341,0.014310897966765879
6.7,0.1,-1,0,0.984701899181573,0.015298100818426974
6.8,0.1,-1,0,0.9836744950929415,0.01632550490705853
6.9,0.1,-1,0,0.9826119918176346,0.01738800818236541
7.0,0.1,-1,0,0.9815197254876011,0.018480274512398864
7.1,0.1,-1,0,0.9804029045045581,0.019597095495441863
7.2,0.1,-1,0,0.9792662233975307,0.020733776602469334
7.3,0.1,-1,0,0.978113482301751,0.02188651769824901
7.4,0.1,-1,0,0.976947241349194,0.023052758650806027
7.5,0.1,-1,0,0.9757685351063401,0.024231464893659904
7.6,0.1,-1,0,0.9745766654561976,0.02542333454380241
7.7,0.1,-1,0,0.9733690831569675,0.026630916843032537
7.8,0.1,-1,0,0.9721413599975222,0.02785864000247784
7.9,0.1,-1,0,0.9708872461256988,0.029112753874301234
8.0,0.1,-1,0,0.9695988014759678,0.030401198524032225
8.1,0.1,0,0,0.9682665867100013,0.03173341328999868
0.1,0.2,-1,0,0.8306580380808555,0.16934196191914452
0.2,0.2,-1,0,0.817104364462466,0.18289563553753396
0.3,0.2,-1,0,0.8011322903590781,0.19886770964092193
0.4,0.2,-1,0,0.7834929861726323,0.2165070138273677
0.5,0.2,-1,0,0.7653760393748144,0.23462396062518565
0.6,0.2,-1,0,0.7482353404832907,0.25176465951670934
0.7,0.2,-1,0,0.7335132998799736,0.2664867001200264
0.8,0.2,-1,0,0.7223850108001102,0.2776149891998898
0.9,0.2,-1,0,0.7156198439230934,0.2843801560769066
1.0,0.2,-1,0,0.7135719012795789,0.2864280987204211
1.1,0.2,-1,0,0.7162477487863157,0.2837522512136843
1.2,0.2,-1,0,0.7233937111323598,0.27660628886764016
1.3,0.2,-1,0,0.7345699838779751,0.2654300161220249
1.4,0.2,-1,0,0.749203682404584,0.250796317595416
1.5,0.2,-1,0,0.7666263346284268,0.23337366537157322
1.6,0.2,-1,0,0.7861049578802977,0.21389504211970234
1.7,0.2,-1,0,0.8068741732346325,0.1931258267653675
1.8,0.2,-1,0,0.8281729430223095,0.17182705697769052
1.9,0.2,-1,0,0.8492852537816589,0.15071474621834113
2.0,0.2,0,0,0.8695805697466312,0.13041943025336877
2.1,0.2,-1,0,0.8885480281521723,0.11145197184782774
2.2,0.2,-1,0,0.9058186145189211,0.0941813854810789
2.3,0.2,-1,0,0.921171779663041,0.07882822033695902
2.4,0.2,-1,0,0.9345263009516884,0.06547369904831157
2.5,0.2,-1,0,0.9459184428121716,0.054081557187828366
2.6,0.2,-1,0,0.9554725789839722,0.0445274210160278
2.7,0.2,-1,0,0.9633699174473804,0.03663008255261957
2.8,0.2,-1,0,0.969820007238468,0.03017999276153205
2.9,0.2,-1,0,0.9750379405600142,0.02496205943998575
