Conc_AP_Lys_100_(mM),Conc_AP_Asp_30_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,0,0,0.7350886327772059,0.26491136722279407
0.2,0.1,0,0,0.7279750788208617,0.27202492117913835
0.3,0.1,-1,0,0.7229444767182827,0.27705552328171734
0.4,0.1,-1,0,0.7203822975323533,0.2796177024676467
0.5,0.1,-1,0,0.7205797248224144,0.2794202751775856
0.6,0.1,-1,0,0.7237105088767066,0.2762894911232934
0.7,0.1,-1,0,0.7298188775667427,0.2701811224332573
0.8,0.1,-1,0,0.7388180113216549,0.2611819886783451
0.9,0.1,-1,0,0.7504971764616357,0.24950282353836428
1.0,0.1,-1,0,0.7645354256631549,0.2354645743368451
1.1,0.1,-1,0,0.7805203777306815,0.2194796222693185
1.2,0.1,-1,0,0.7979712741740741,0.2020287258259259
1.3,0.1,-1,0,0.8163657465280494,0.18363425347195061
1.4,0.1,-1,0,0.8351693607305606,0.16483063926943942
1.5,0.1,-1,0,0.8538662227897476,0.14613377721025245
1.6,0.1,-1,0,0.8719881196848291,0.12801188031517086
1.7,0.1,-1,0,0.8891392359469137,0.11086076405308631
1.8,0.1,-1,0,0.9050136987137876,0.09498630128621244
1.9,0.1,0,0,0.919404101223563,0.08059589877643702
2.0,0.1,-1,0,0.9322005376293419,0.06779946237065815
2.1,0.1,-1,0,0.9433811884234728,0.05661881157652715
2.2,0.1,-1,0,0.9529967276293974,0.047003272370602645
2.3,0.1,-1,0,0.9611514810355857,0.038848518964414325
2.4,0.1,-1,0,0.9679842434505872,0.0320157565494128
2.5,0.1,-1,0,0.973651070789856,0.02634892921014398
2.6,0.1,-1,0,0.9783114593643631,0.021688540635636855
2.7,0.1,-1,0,0.9821184052435683,0.017881594756431696
2.8,0.1,-1,0,0.9852121214879617,0.014787878512038333
2.9,0.1,-1,0,0.9877167725826439,0.012283227417356102
3.0,0.1,-1,0,0.9897394402928512,0.010260559707148786
3.1,0.1,-1,0,0.9913705779139264,0.008629422086073646
3.2,0.1,-1,0,0.9926853465221939,0.007314653477806132
3.3,0.1,-1,0,0.9937453870347781,0.006254612965221895
3.4,0.1,-1,0,0.9946007263789625,0.005399273621037537
3.5,0.1,-1,0,0.9952916300198922,0.004708369980107818
3.6,0.1,-1,0,0.9958502956550319,0.004149704344968086
3.7,0.1,-1,0,0.9963023390441776,0.003697660955822357
3.8,0.1,-1,0,0.9966680590131318,0.003331940986868176
3.9,0.1,-1,0,0.9969634902239477,0.0030365097760522985
4.0,0.1,-1,0,0.9972012638877459,0.0027987361122541188
4.1,0.1,-1,0,0.9973913015569451,0.002608698443054891
4.2,0.1,-1,0,0.9975413679615031,0.002458632038496944
4.3,0.1,-1,0,0.9976575072802234,0.002342492719776601
4.4,0.1,-1,0,0.9977443844908294,0.0022556155091706387
4.5,0.1,-1,0,0.9978055502366487,0.0021944497633512583
4.6,0.1,-1,0,0.9978436444579302,0.002156355542069832
4.7,0.1,-1,0,0.9978605511433898,0.0021394488566102154
4.8,0.1,-1,0,0.9978575140085013,0.0021424859914986882
4.9,0.1,-1,0,0.9978352207823491,0.002164779217650903
5.0,0.1,-1,0,0.9977938620223767,0.002206137977623257
5.1,0.1,-1,0,0.9977331689723314,0.002266831027668559
5.2,0.1,-1,0,0.9976524338462696,0.0023475661537304404
5.3,0.1,-1,0,0.9975505150434856,0.002449484956514425
5.4,0.1,-1,0,0.9974258291080105,0.0025741708919895245
5.5,0.1,-1,0,0.9972763307553123,0.0027236692446876987
5.6,0.1,-1,0,0.997099481895475,0.002900518104524963
5.7,0.1,-1,0,0.996892210362148,0.0031077896378519654
5.8,0.1,-1,0,0.9966508589320711,0.00334914106792894
5.9,0.1,-1,0,0.9963711252246412,0.0036288747753587813
6.0,0.1,-1,0,0.9960479931793316,0.00395200682066843
6.1,0.1,-1,0,0.995675657068773,0.0043243429312269654
6.2,0.1,-1,0,0.9952474393716102,0.004752560628389801
6.3,0.1,-1,0,0.994755704353679,0.005244295646321007
6.4,0.1,-1,0,0.9941917698529323,0.005808230147067661
6.5,0.1,-1,0,0.9935458205612804,0.0064541794387196205
6.6,0.1,-1,0,0.9928068269801997,0.00719317301980027
6.7,0.1,-1,0,0.991962475222067,0.008037524777932958
6.8,0.1,-1,0,0.9909991138006262,0.009000886199373781
6.9,0.1,-1,0,0.9899017245006689,0.010098275499331066
7.0,0.1,-1,0,0.9886539251682507,0.01134607483174932
7.1,0.1,-1,0,0.9872380127289944,0.012761987271005637
7.2,0.1,-1,0,0.9856350547677266,0.014364945232273385
7.3,0.1,-1,0,0.9838250374510835,0.016174962548916483
7.4,0.1,-1,0,0.9817870763002929,0.018212923699707062
7.5,0.1,-1,0,0.9794996942586067,0.020500305741393277
7.6,0.1,-1,0,0.9769411686002059,0.023058831399794144
7.7,0.1,-1,0,0.9740899445440618,0.025910055455938164
7.8,0.1,-1,0,0.9709251091481974,0.029074890851802593
7.9,0.1,-1,0,0.9674269143810079,0.03257308561899208
8.0,0.1,-1,0,0.9635773336017337,0.0364226663982663
8.1,0.1,0,0,0.9593606314336967,0.04063936856630335
0.1,0.2,-1,0,0.7358411070480315,0.2641588929519685
0.2,0.2,-1,0,0.7249610253037417,0.27503897469625826
0.3,0.2,-1,0,0.7159652422084264,0.2840347577915736
0.4,0.2,-1,0,0.7093656111555902,0.29063438884440984
0.5,0.2,-1,0,0.7055875493277881,0.2944124506722119
0.6,0.2,-1,0,0.7049378736193148,0.2950621263806852
0.7,0.2,-1,0,0.7075860153602207,0.2924139846397793
0.8,0.2,-1,0,0.7135581768213228,0.28644182317867717
0.9,0.2,-1,0,0.722741467563992,0.27725853243600795
1.0,0.2,-1,0,0.7348945788189098,0.26510542118109015
1.1,0.2,-1,0,0.7496626542646823,0.25033734573531774
1.2,0.2,-1,0,0.7665956077146916,0.2334043922853084
1.3,0.2,-1,0,0.7851702562207947,0.21482974377920527
1.4,0.2,-1,0,0.8048167997258133,0.19518320027418667
1.5,0.2,-1,0,0.8249494022406907,0.1750505977593093
1.6,0.2,-1,0,0.8449992917294367,0.15500070827056334
1.7,0.2,-1,0,0.8644474576417451,0.13555254235825487
1.8,0.2,-1,0,0.8828532385639392,0.11714676143606084
1.9,0.2,-1,0,0.8998752123427494,0.10012478765725064
2.0,0.2,-1,0,0.9152818611598832,0.08471813884011681
2.1,0.2,-1,0,0.928951197249603,0.07104880275039704
2.2,0.2,-1,0,0.9408604157944183,0.05913958420558174
2.3,0.2,-1,0,0.9510681857053669,0.048931814294633114
2.4,0.2,-1,0,0.9596930334590752,0.040306966540924805
2.5,0.2,-1,0,0.9668912920914181,0.03310870790858189
2.6,0.2,-1,0,0.9728373989297552,0.02716260107024482
2.7,0.2,-1,0,0.9777082370682137,0.022291762931786252
2.8,0.2,-1,0,0.9816720890319175,0.018327910968082506
2.9,0.2,-1,0,0.9848818904963537,0.015118109503646338
3.0,0.2,-1,0,0.9874719645316645,0.012528035468335474
3.1,0.2,-1,0,0.9895572581241368,0.010442741875863248
3.2,0.2,-1,0,0.9912341810630778,0.008765818936922187
3.3,0.2,-1,0,0.9925823375220943,0.007417662477905651
3.4,0.2,-1,0,0.9936666498341538,0.006333350165846241
3.5,0.2,-1,0,0.9945395530446604,0.005460446955339648
3.6,0.2,-1,0,0.9952430724633814,0.004756927536618605
