Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
0.1,0.1,-1,0,0.9865256459299871,0.01347435407001285
0.2,0.1,-1,0,0.9874338502880846,0.012566149711915386
0.3,0.1,-1,0,0.9888352077274476,0.011164792272552404
0.4,0.1,-1,0,0.9906861146016581,0.009313885398341881
0.5,0.1,-1,0,0.9927960296358833,0.007203970364116685
0.6,0.1,-1,0,0.9948712137958182,0.005128786204181779
0.7,0.1,-1,0,0.9966353043389518,0.003364695661048245
0.8,0.1,-1,0,0.9979440763748926,0.0020559236251074253
0.9,0.1,-1,0,0.9988077603193233,0.001192239680676721
1.0,0.1,-1,0,0.9993281209250426,0.00067187907495736
1.1,0.1,-1,0,0.99962285192737,0.00037714807263000694
1.2,0.1,-1,0,0.9997844182565814,0.00021558174341862468
1.3,0.1,-1,0,0.9998723986941513,0.00012760130584865692
1.4,0.1,-1,0,0.9999209872984238,7.901270157617546e-05
1.5,0.1,-1,0,0.9999485936929204,5.1406307079560065e-05
1.6,0.1,-1,0,0.9999648617659886,3.513823401135596e-05
1.7,0.1,-1,0,0.9999748353859559,2.5164614044115297e-05
1.8,0.1,-1,0,0.9999811938196217,1.8806180378305726e-05
1.9,0.1,-1,0,0.9999853975748465,1.4602425153498189e-05
2.0,0.1,-1,0,0.9999882680568817,1.1731943118320487e-05
2.1,0.1,-1,0,0.9999902828026279,9.71719737208332e-06
2.2,0.1,-1,0,0.9999917286803566,8.271319643426978e-06
2.3,0.1,-1,0,0.9999927834227265,7.21657727353886e-06
2.4,0.1,-1,0,0.9999935602523919,6.439747608055768e-06
2.5,0.1,-1,0,0.9999941330409001,5.866959099876112e-06
2.6,0.1,-1,0,0.9999945508798191,5.449120180855971e-06
2.7,0.1,-1,0,0.9999948467656168,5.153234383215022e-06
2.8,0.1,-1,0,0.9999950428740476,4.957125952387287e-06
2.9,0.1,-1,0,0.9999951538387677,4.846161232308077e-06
3.0,0.1,0,0,0.999995188791786,4.811208214050566e-06
3.1,0.1,-1,0,0.9999951526446011,4.847355398851505e-06
3.2,0.1,-1,0,0.9999950468446741,4.953155325893022e-06
3.3,0.1,-1,0,0.9999948697948184,5.130205181558267e-06
3.4,0.1,-1,0,0.9999946170050862,5.382994913816219e-06
3.5,0.1,-1,0,0.9999942810347875,5.71896521250892e-06
3.6,0.1,-1,0,0.9999938512543167,6.148745683276502e-06
3.7,0.1,-1,0,0.9999933134205321,6.686579467896081e-06
3.8,0.1,-1,0,0.9999926490601183,7.3509398816895555e-06
3.9,0.1,-1,0,0.999991834638422,8.16536157799419e-06
4.0,0.1,-1,0,0.9999908404718099,9.159528190139099e-06
4.1,0.1,-1,0,0.9999896293304573,1.0370669542680844e-05
4.2,0.1,-1,0,0.9999881546685856,1.1845331414406246e-05
4.3,0.1,-1,0,0.9999863583919932,1.3641608006764727e-05
4.4,0.1,-1,0,0.9999841680534018,1.58319465981549e-05
4.5,0.1,-1,0,0.9999814933411244,1.850665887559444e-05
4.6,0.1,-1,0,0.9999782216939366,2.177830606342468e-05
4.7,0.1,-1,0,0.9999742128346725,2.5787165327528783e-05
4.8,0.1,-1,0,0.9999692919751624,3.070802483762236e-05
4.9,0.1,-1,0,0.9999632413833979,3.6758616602128313e-05
5.0,0.1,-1,0,0.9999557899533329,4.42100466671036e-05
5.1,0.1,-1,0,0.9999466003391717,5.339966082829051e-05
5.2,0.1,-1,0,0.9999352531358454,6.474686415458564e-05
5.3,0.1,-1,0,0.9999212275063201,7.8772493679935e-05
5.4,0.1,-1,0,0.9999038775557665,9.612244423351513e-05
5.5,0.1,-1,0,0.9998824036588303,0.00011759634116970119
5.6,0.1,-1,0,0.9998558178476742,0.00014418215232581133
5.7,0.1,-1,0,0.999822902287633,0.00017709771236695815
5.8,0.1,-1,0,0.9997821598016117,0.00021784019838833046
5.9,0.1,-1,0,0.9997317553558105,0.0002682446441895081
6.0,0.1,-1,0,0.9996694474639298,0.0003305525360701722
6.1,0.1,-1,0,0.9995925085173667,0.00040749148263330426
6.2,0.1,-1,0,0.9994976332482111,0.0005023667517889407
6.3,0.1,-1,0,0.9993808348054927,0.0006191651945073318
6.4,0.1,-1,0,0.9992373283346296,0.0007626716653703625
6.5,0.1,-1,0,0.999061402530856,0.0009385974691440424
6.6,0.1,-1,0,0.998846280352609,0.0011537196473909717
6.7,0.1,-1,0,0.9985839709381708,0.0014160290618292493
6.8,0.1,-1,0,0.9982651158068165,0.0017348841931834613
6.9,0.1,-1,0,0.9978788334886985,0.0021211665113014533
7.0,0.1,-1,0,0.997412567873198,0.002587432126802014
7.1,0.1,-1,0,0.9968519466536918,0.0031480533463081883
7.2,0.1,-1,0,0.996180657152081,0.0038193428479189606
7.3,0.1,-1,0,0.9953803475211771,0.0046196524788229
7.4,0.1,-1,0,0.9944305616689917,0.005569438331008314
7.5,0.1,-1,0,0.9933087161502954,0.006691283849704632
7.6,0.1,-1,0,0.9919901267749083,0.008009873225091724
7.7,0.1,-1,0,0.9904480916533203,0.009551908346679738
7.8,0.1,-1,0,0.988654036029061,0.01134596397093901
7.9,0.1,-1,0,0.9865777225352304,0.01342227746476965
8.0,0.1,-1,0,0.9841875286851973,0.01581247131480268
8.1,0.1,-1,0,0.9814507915617696,0.01854920843823038
0.1,0.2,-1,0,0.9922634999588809,0.007736500041119143
0.2,0.2,-1,0,0.9919449759181589,0.008055024081841111
0.3,0.2,-1,0,0.9917035671132908,0.008296432886709226
0.4,0.2,-1,0,0.99166582755538,0.00833417244461998
0.5,0.2,-1,0,0.9919766674682933,0.008023332531706728
0.6,0.2,-1,0,0.9927382078884648,0.007261792111535215
0.7,0.2,-1,0,0.9939296676146796,0.006070332385320398
0.8,0.2,-1,0,0.9953730780495107,0.0046269219504893044
0.9,0.2,-1,0,0.9967997832554829,0.0032002167445170926
1.0,0.2,-1,0,0.9979815495772755,0.002018450422724527
1.1,0.2,-1,0,0.998821340060772,0.001178659939228055
1.2,0.2,-1,0,0.9993471812516646,0.0006528187483354486
1.3,0.2,-1,0,0.9996466759894247,0.0003533240105753066
1.4,0.2,-1,0,0.9998074229547456,0.00019257704525443842
1.5,0.2,-1,0,0.9998916089895147,0.0001083910104853203
1.6,0.2,-1,0,0.9999359222765634,6.407772343663964e-05
1.7,0.2,-1,0,0.9999598737346105,4.012626538951736e-05
1.8,0.2,-1,0,0.999973338281734,2.6661718266041134e-05
1.9,0.2,-1,0,0.9999812540570474,1.8745942952591577e-05
2.0,0.2,-1,0,0.9999861216207364,1.3878379263587703e-05
2.1,0.2,-1,0,0.9999892421650429,1.0757834957075829e-05
2.2,0.2,-1,0,0.9999913167746399,8.683225360073266e-06
2.3,0.2,-1,0,0.9999927376464939,7.262353506121144e-06
2.4,0.2,-1,0,0.9999937324646453,6.267535354709253e-06
2.5,0.2,-1,0,0.9999944380305124,5.561969487644092e-06
2.6,0.2,-1,0,0.9999949390414713,5.060958528702031e-06
2.7,0.2,-1,0,0.9999952891901103,4.710809889729717e-06
2.8,0.2,-1,0,0.9999955230148316,4.476985168366809e-06
2.9,0.2,-1,0,0.9999956627399342,4.337260065767623e-06
3.0,0.2,-1,0,0.9999957223178626,4.277682137399097e-06
3.1,0.2,-1,0,0.9999957098435743,4.290156425668101e-06
3.2,0.2,-1,0,0.9999956289965439,4.371003456071776e-06
3.3,0.2,-1,0,0.9999954798585122,4.520141487773799e-06
3.4,0.2,-1,0,0.9999952593287844,4.74067121558619e-06
3.5,0.2,-1,0,0.99999496123678,5.038763219999964e-06
3.6,0.2,-1,0,0.9999945762202742,5.423779725788336e-06
3.7,0.2,-1,0,0.9999940913960472,5.908603952775593e-06
3.8,0.2,-1,0,0.9999934898207812,6.510179218821577e-06
3.9,0.2,-1,0,0.9999927497348153,7.250265184666205e-06
4.0,0.2,-1,0,0.9999918435504469,8.156449553098355e-06
4.1,0.2,-1,0,0.9999907365383933,9.263461606678902e-06
4.2,0.2,-1,0,0.9999893851587558,1.0614841244205309e-05
4.3,0.2,-1,0,0.9999877349356439,1.226506435614283e-05
4.4,0.2,-1,0,0.9999857177922422,1.4282207757787546e-05
4.5,0.2,-1,0,0.9999832486927289,1.6751307271078986e-05
4.6,0.2,-1,0,0.9999802214522333,1.977854776669119e-05
4.7,0.2,-1,0,0.9999765034850725,2.3496514927501266e-05
4.8,0.2,-1,0,0.9999719292760574,2.8070723942619225e-05
4.9,0.2,-1,0,0.999966292251429,3.3707748571032425e-05
5.0,0.2,-1,0,0.999959334693358,4.066530664204038e-05
5.1,0.2,-1,0,0.9999507352684986,4.92647315013528e-05
5.2,0.2,-1,0,0.9999400936459324,5.9906354067607026e-05
5.3,0.2,-1,0,0.9999269115982088,7.308840179121034e-05
5.4,0.2,-1,0,0.9999105698641415,8.943013585849258e-05
5.5,0.2,-1,0,0.9998902999735719,0.0001097000264280723
5.6,0.2,-1,0,0.9998651500926599,0.0001348499073401399
5.7,0.2,-1,0,0.9998339438739094,0.00016605612609055243
5.8,0.2,-1,0,0.9997952311983909,0.00020476880160913424
5.9,0.2,-1,0,0.9997472296450951,0.0002527703549048965
6.0,0.2,-1,0,0.999687755514401,0.000312244485598967
6.1,0.2,-1,0,0.999614143285612,0.00038585671438795544
6.2,0.2,-1,0,0.9995231525310828,0.0004768474689171853
6.3,0.2,-1,0,0.999410861575484,0.0005891384245160225
6.4,0.2,-1,0,0.9992725475678981,0.0007274524321019271
6.5,0.2,-1,0,0.9991025531891182,0.0008974468108817746
6.6,0.2,-1,0,0.9988941409275185,0.0011058590724815076
6.7,0.2,-1,0,0.9986393367314577,0.0013606632685423392
6.8,0.2,-1,0,0.9983287658842528,0.001671234115747211
6.9,0.2,-1,0,0.997951485076328,0.0020485149236719735
7.0,0.2,-1,0,0.997494815848313,0.00250518415168699
7.1,0.2,-1,0,0.9969441857469974,0.003055814253002609
7.2,0.2,-1,0,0.9962829845908345,0.0037170154091654695
7.3,0.2,-1,0,0.9954924440463628,0.004507555953637166
7.4,0.2,-1,0,0.994551549249536,0.005448450750463962
7.5,0.2,-1,0,0.9934369912895136,0.006563008710486429
7.6,0.2,-1,0,0.9921231690630066,0.007876830936993429
7.7,0.2,-1,0,0.9905822482443227,0.009417751755677273
7.8,0.2,-1,0,0.988784283982227,0.011215716017773047
7.9,0.2,-1,0,0.9866974125590104,0.013302587440989555
8.0,0.2,-1,0,0.9842881157483134,0.01571188425168657
8.1,0.2,-1,0,0.9815215601400951,0.018478439859904938
0.1,0.3,-1,0,0.995896427350317,0.004103572649682974
0.2,0.3,-1,0,0.9951882570778707,0.00481174292212927
0.3,0.3,-1,0,0.9941010634206577,0.005898936579342262
0.4,0.3,-1,0,0.9925094365290761,0.007490563470923917
0.5,0.3,-1,0,0.9903545845774033,0.00964541542259667
0.6,0.3,-1,0,0.9878122637951492,0.012187736204850808
0.7,0.3,-1,0,0.9854729928824781,0.014527007117521862
0.8,0.3,-1,0,0.9842813010794771,0.01571869892052291
0.9,0.3,-1,0,0.9850260254785326,0.014973974521467426
1.0,0.3,-1,0,0.9876789907723378,0.012321009227662216
1.1,0.3,-1,0,0.9912958000765002,0.0087041999234998
1.2,0.3,-1,0,0.994683271916756,0.005316728083244016
1.3,0.3,-1,0,0.9971368842124093,0.0028631157875906865
1.4,0.3,-1,0,0.9985971660914856,0.001402833908514367
1.5,0.3,-1,0,0.9993476663145202,0.000652333685479789
1.6,0.3,-1,0,0.999698245369359,0.0003017546306409713
1.7,0.3,-1,0,0.9998551113261556,0.00014488867384443438
1.8,0.3,-1,0,0.9999255600375818,7.44399624181824e-05
1.9,0.3,-1,0,0.9999584284851153,4.157151488470845e-05
2.0,0.3,-1,0,0.9999746831790617,2.5316820938314777e-05
2.1,0.3,-1,0,0.999983269587915,1.6730412085053104e-05
2.2,0.3,-1,0,0.9999881090193412,1.1890980658790795e-05
2.3,0.3,-1,0,0.9999910004482899,8.999551710076048e-06
2.4,0.3,-1,0,0.9999928145454078,7.185454592217866e-06
2.5,0.3,-1,0,0.9999939963939823,6.003606017657148e-06
2.6,0.3,-1,0,0.9999947855931168,5.214406883169431e-06
2.7,0.3,-1,0,0.9999953171958396,4.682804160438536e-06
2.8,0.3,-1,0,0.9999956702673671,4.329732632868399e-06
2.9,0.3,-1,0,0.9999958923586973,4.1076413026530645e-06
3.0,0.3,-1,0,0.9999960123655001,3.987634499935666e-06
3.1,0.3,-1,0,0.9999960475350917,3.9524649082522956e-06
3.2,0.3,-1,0,0.9999960073786269,3.992621373072325e-06
3.3,0.3,-1,0,0.9999958958828756,4.104117124370532e-06
3.4,0.3,-1,0,0.9999957127148491,4.287285150894604e-06
3.5,0.3,-1,0,0.99999545382218,4.546177819975128e-06
3.6,0.3,-1,0,0.9999951116092234,4.88839077661396e-06
3.7,0.3,-1,0,0.999994674808363,5.325191636984528e-06
3.8,0.3,-1,0,0.9999941280843814,5.871915618627099e-06
3.9,0.3,-1,0,0.9999934513878088,6.548612191181746e-06
4.0,0.3,-1,0,0.9999926190420183,7.380957981695246e-06
4.1,0.3,-1,0,0.9999915985249572,8.40147504277411e-06
4.2,0.3,-1,0,0.9999903488950395,9.65110496053967e-06
4.3,0.3,-1,0,0.9999888187802526,1.1181219747413707e-05
4.4,0.3,-1,0,0.9999869438328233,1.3056167176728195e-05
4.5,0.3,-1,0,0.9999846435262043,1.5356473795691272e-05
4.6,0.3,-1,0,0.9999818171307879,1.818286921206891e-05
4.7,0.3,-1,0,0.9999783386754189,2.166132458114589e-05
4.8,0.3,-1,0,0.999974050652213,2.5949347786990984e-05
4.9,0.3,-1,0,0.9999687561695509,3.1243830449056986e-05
5.0,0.3,-1,0,0.9999622091927449,3.779080725507811e-05
5.1,0.3,-1,0,0.9999541024316159,4.58975683841345e-05
5.2,0.3,-1,0,0.9999440523615704,5.594763842964312e-05
5.3,0.3,-1,0,0.999931580758016,6.841924198397464e-05
5.4,0.3,-1,0,0.9999160920077657,8.390799223434442e-05
5.5,0.3,-1,0,0.9998968453663792,0.00010315463362076116
5.6,0.3,-1,0,0.9998729211923774,0.00012707880762263812
5.7,0.3,-1,0,0.9998431800767094,0.00015681992329064087
5.8,0.3,-1,0,0.9998062136843373,0.00019378631566269178
5.9,0.3,-1,0,0.9997602860371444,0.0002397139628556033
6.0,0.3,-1,0,0.9997032639382724,0.00029673606172764266
6.1,0.3,-1,0,0.9996325352483382,0.0003674647516618279
6.2,0.3,-1,0,0.9995449138451704,0.00045508615482958703
6.3,0.3,0,0,0.9994365303125505,0.0005634696874494693
6.4,0.3,-1,0,0.9993027077645138,0.0006972922354862021
6.5,0.3,-1,0,0.9991378227349514,0.0008621772650485582
6.6,0.3,-1,0,0.9989351517521072,0.001064848247892769
6.7,0.3,-1,0,0.9986867051019317,0.0013132948980683068
6.8,0.3,-1,0,0.9983830503251738,0.0016169496748261736
6.9,0.3,-1,0,0.9980131291761154,0.001986870823884601
7.0,0.3,-1,0,0.9975640730336863,0.002435926966313673
7.1,0.3,-1,0,0.9970210230175098,0.002978976982490167
7.2,0.3,-1,0,0.9963669622468387,0.003633037753161261
7.3,0.3,-1,0,0.9955825686643038,0.004417431335696165
7.4,0.3,-1,0,0.994646097551481,0.005353902448518966
7.5,0.3,-1,0,0.9935333032303788,0.006466696769621194
7.6,0.3,-1,0,0.9922174094032243,0.0077825905967756626
7.7,0.3,-1,0,0.9906691371870693,0.009330862812930718
7.8,0.3,-1,0,0.9888567992026083,0.011143200797391728
7.9,0.3,-1,0,0.9867464671833659,0.013253532816634106
8.0,0.3,-1,0,0.984302219659412,0.015697780340587997
8.1,0.3,-1,0,0.9814864754033579,0.018513524596642128
0.1,0.4,-1,0,0.9979257137339346,0.002074286266065428
0.2,0.4,-1,0,0.9972693856457227,0.0027306143542773498
0.3,0.4,-1,0,0.995950746008134,0.004049253991865953
0.4,0.4,-1,0,0.9932150002188109,0.006784999781189072
0.5,0.4,-1,0,0.9874750661073222,0.012524933892677836
0.6,0.4,-1,0,0.9759108007182249,0.02408919928177511
0.7,0.4,-1,0,0.9550408697066359,0.04495913029336407
0.8,0.4,-1,0,0.9239193530881948,0.07608064691180516
0.9,0.4,-1,0,0.8890621930650013,0.11093780693499866
1.0,0.4,0,0,0.8642078458544802,0.13579215414551982
1.1,0.4,-1,0,0.8616590187525617,0.13834098124743832
1.2,0.4,-1,0,0.8833369631615824,0.11666303683841761
1.3,0.4,-1,0,0.9191963569700192,0.08080364302998078
1.4,0.4,-1,0,0.9540908408189352,0.04590915918106475
1.5,0.4,-1,0,0.9782034155794008,0.021796584420599174
1.6,0.4,-1,0,0.9910213694874983,0.008978630512501695
1.7,0.4,-1,0,0.9966516654077395,0.0033483345922604713
1.8,0.4,-1,0,0.9988118163079207,0.001188183692079292
1.9,0.4,-1,0,0.9995723918253816,0.00042760817461839906
2.0,0.4,-1,0,0.9998339360760156,0.0001660639239844386
2.1,0.4,-1,0,0.9999274499159583,7.255008404172258e-05
2.2,0.4,-1,0,0.9999637646810697,3.623531893026666e-05
2.3,0.4,-1,0,0.9999793847839555,2.0615216044461704e-05
2.4,0.4,-1,0,0.9999868325488706,1.3167451129447727e-05
2.5,0.4,-1,0,0.9999907276672957,9.272332704313158e-06
2.6,0.4,-1,0,0.9999929260242197,7.073975780258479e-06
2.7,0.4,-1,0,0.9999942396690358,5.760330964221794e-06
2.8,0.4,-1,0,0.9999950530385604,4.9469614396002726e-06
2.9,0.4,-1,0,0.9999955610061306,4.438993869371188e-06
3.0,0.4,-1,0,0.9999958679485417,4.1320514583276235e-06
3.1,0.4,-1,0,0.9999960319230468,3.9680769532424165e-06
3.2,0.4,-1,0,0.9999960856176813,3.914382318725984e-06
3.3,0.4,-1,0,0.9999960468001063,3.953199893658166e-06
3.4,0.4,-1,0,0.9999959237286475,4.076271352460026e-06
3.5,0.4,-1,0,0.9999957179791181,4.282020881873905e-06
3.6,0.4,-1,0,0.9999954258711341,4.5741288658973644e-06
3.7,0.4,-1,0,0.9999950390595131,4.96094048685336e-06
3.8,0.4,-1,0,0.9999945445796357,5.45542036434199e-06
3.9,0.4,-1,0,0.999993924488308,6.075511691960855e-06
4.0,0.4,-1,0,0.9999931551510599,6.844848940090742e-06
4.1,0.4,-1,0,0.9999922061766711,7.793823328938743e-06
4.2,0.4,-1,0,0.999991038979374,8.961020625974925e-06
4.3,0.4,-1,0,0.9999896048927894,1.0395107210570131e-05
4.4,0.4,-1,0,0.9999878427580597,1.2157241940258245e-05
4.5,0.4,-1,0,0.999985675867606,1.432413239399466e-05
4.6,0.4,-1,0,0.9999830081087566,1.6991891243378632e-05
4.7,0.4,-1,0,0.999979719120347,2.028087965300074e-05
4.8,0.4,-1,0,0.9999756582233204,2.434177667964832e-05
4.9,0.4,-1,0,0.9999706368378156,2.9363162184381508e-05
5.0,0.4,-1,0,0.9999644190229446,3.558097705536056e-05
5.1,0.4,-1,0,0.9999567097022464,4.329029775362869e-05
5.2,0.4,-1,0,0.9999471400606126,5.28599393874174e-05
5.3,0.4,-1,0,0.999935249468308,6.475053169197054e-05
5.4,0.4,-1,0,0.9999204631909606,7.95368090393822e-05
5.5,0.4,-1,0,0.9999020650212742,9.793497872578882e-05
5.6,0.4,-1,0,0.9998791638060993,0.00012083619390068634
5.7,0.4,-1,0,0.9998506527365407,0.0001493472634592763
5.8,0.4,-1,0,0.9998151601232621,0.0001848398767378967
5.9,0.4,-1,0,0.9997709902531824,0.00022900974681761
6.0,0.4,-1,0,0.9997160528913582,0.00028394710864176886
6.1,0.4,-1,0,0.9996477799236345,0.0003522200763654837
6.2,0.4,-1,0,0.9995630277430791,0.0004369722569208534
6.3,0.4,-1,0,0.9994579641276005,0.0005420358723995378
6.4,0.4,-1,0,0.9993279386924314,0.0006720613075685833
6.5,0.4,-1,0,0.9991673364771714,0.000832663522828625
6.6,0.4,-1,0,0.9989694148820263,0.0010305851179737147
6.7,0.4,-1,0,0.9987261250505526,0.0012738749494474177
6.8,0.4,-1,0,0.9984279198482682,0.001572080151731825
6.9,0.4,-1,0,0.9980635517885048,0.0019364482114951898
7.0,0.4,-1,0,0.997619865612819,0.0023801343871809877
7.1,0.4,-1,0,0.9970815915964977,0.002918408403502326
7.2,0.4,-1,0,0.9964311469894938,0.0035688530105062455
7.3,0.4,-1,0,0.9956484542057069,0.004351545794293088
7.4,0.4,-1,0,0.9947107853586203,0.005289214641379658
7.5,0.4,-1,0,0.9935926434606017,0.006407356539398279
7.6,0.4,-1,0,0.9922656910167689,0.007734308983231131
7.7,0.4,-1,0,0.9906987369313356,0.009301263068664412
7.8,0.4,-1,0,0.9888577926216158,0.011142207378384228
7.9,0.4,-1,0,0.9867062082159919,0.013293791784008135
8.0,0.4,-1,0,0.9842048997054462,0.015795100294553777
8.1,0.4,-1,0,0.9813126781393748,0.01868732186062516
0.1,0.5,-1,0,0.9989563638625896,0.0010436361374104308
0.2,0.5,-1,0,0.9984823238770559,0.0015176761229440672
0.3,0.5,-1,0,0.9972776496671258,0.002722350332874157
0.4,0.5,-1,0,0.993811803401627,0.006188196598372997
0.5,0.5,-1,0,0.9827480779538291,0.017251922046170876
0.6,0.5,0,0,0.946532830668616,0.05346716933138396
0.7,0.5,-1,0,0.8417085356148846,0.15829146438511543
0.8,0.5,-1,0,0.6306434512057706,0.3693565487942294
0.9,0.5,1,1,0.38923836131641565,0.6107616386835844
1.0,0.5,-1,1,0.2285284574893467,0.7714715425106533
1.1,0.5,-1,1,0.15062048820834661,0.8493795117916534
1.2,0.5,1,1,0.12034959168533987,0.8796504083146601
1.3,0.5,-1,1,0.11876884245896235,0.8812311575410376
