,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
0,0.1,0.1,0
1,8.1,0.1,0
2,1.4,0.2,0
3,5.5,0.4,0
4,1.7,0.5,0
5,2.3,0.6,0
6,8.1,0.6,0
7,1.2,0.7,1
8,1.3,0.7,1
9,2.4,0.7,1
10,2.6,0.7,1
11,2.7,0.7,0
12,3.8,0.7,0
13,4.0,0.8,0
14,4.2,0.9,1
15,4.5,0.9,0
16,4.7,0.9,0
17,8.1,0.9,0
18,6.7,1.0,0
19,8.1,1.0,0
20,0.5,1.1,0
21,4.6,1.1,1
22,6.0,1.1,1
23,6.6,1.1,0
24,6.9,1.1,0
25,7.6,1.1,0
26,8.1,1.2,1
27,4.5,1.3,1
28,6.3,1.3,1
29,8.1,1.3,1
30,0.1,1.4,0
31,4.0,1.4,1
32,6.3,1.5,1
33,0.4,1.8,0
34,0.5,1.8,0
35,0.2,2.3,0
36,1.0,2.3,1
37,6.3,2.3,1
38,3.0,2.4,1
39,3.7,2.5,1
40,0.4,2.9,0
41,1.7,2.9,1
42,0.1,3.2,0
43,4.1,3.2,1
44,0.5,3.8,0
45,0.7,3.8,1
46,8.1,3.9,1
47,0.2,4.1,0
48,0.8,4.2,0
49,0.8,4.4,0
50,0.8,4.6,0
51,1.8,5.0,1
52,0.9,5.2,0
53,1.3,5.2,1
54,0.7,5.4,0
55,1.2,5.5,1
56,1.2,5.9,0
57,1.2,6.2,0
58,1.3,6.3,1
59,3.0,6.5,1
60,1.2,6.7,0
61,3.4,6.7,1
62,6.9,7.5,1
63,1.4,7.6,0
64,0.1,8.1,0
65,0.8,8.1,0
66,1.2,8.1,0
67,1.4,8.1,0
68,1.5,8.1,1
69,1.6,8.1,1
70,1.7,8.1,1
71,1.9,8.1,1
73,3.4,0.1,0
74,7.1,0.1,0
76,1.1,0.2,0
77,2.8,0.3,0
78,5.8,0.3,0
79,5.9,0.3,0
80,1.6,0.4,0
81,2.1,0.4,0
82,2.6,0.4,0
83,3.3,0.4,0
84,0.9,0.5,1
85,2.6,0.5,0
86,4.1,0.5,0
87,2.3,0.6,1
88,3.6,0.7,0
89,4.6,0.7,1
90,4.8,0.8,0
91,5.5,0.8,0
92,0.6,0.9,1
93,0.7,0.9,1
94,4.4,0.9,0
96,5.8,1.0,0
97,6.4,1.0,0
98,7.5,1.0,0
100,0.1,1.1,0
101,5.4,1.1,1
102,6.2,1.1,1
103,8.0,1.1,0
104,8.1,1.1,1
105,8.0,1.2,1
107,2.5,1.3,1
108,0.3,1.4,0
109,0.7,1.4,1
110,8.1,1.5,1
111,1.2,1.6,1
112,0.4,2.1,0
113,5.3,2.1,1
114,0.1,2.2,0
115,3.6,2.5,1
116,0.6,2.8,0
117,0.8,3.1,1
119,0.8,3.8,0
120,0.8,3.9,0
121,1.0,4.0,1
122,0.9,4.1,1
123,6.0,4.1,1
124,0.9,4.2,0
125,1.4,4.3,1
126,0.1,4.5,0
127,1.0,4.6,0
128,5.3,4.7,1
129,1.1,4.8,1
130,7.4,4.8,1
131,8.1,5.0,1
132,1.2,5.3,0
133,1.3,6.0,0
134,1.4,6.0,1
135,1.4,6.1,1
136,1.5,6.1,1
137,1.5,6.8,0
138,3.4,6.8,1
139,0.1,7.7,0
140,1.9,8.0,0
141,2.0,8.0,0
142,1.9,8.1,0
143,2.0,8.1,1
144,2.1,8.1,1
145,2.2,8.1,1
146,2.3,8.1,1
147,3.4,8.1,1
148,3.7,8.1,1
149,6.6,8.1,1
150,8.0,8.1,1
151,8.1,8.1,1
153,3.2,0.1,0
154,5.4,0.1,0
156,5.0,0.3,0
157,1.9,0.4,0
158,2.0,0.6,1
159,2.1,0.6,1
160,6.1,0.6,0
162,0.9,0.7,1
163,2.3,0.7,1
164,2.5,0.7,0
165,4.0,0.7,0
166,7.6,0.7,0
167,8.1,0.7,0
168,3.0,0.8,1
169,3.4,0.8,0
170,1.2,0.9,1
171,4.1,0.9,1
172,4.3,0.9,0
173,5.3,0.9,0
174,0.6,1.0,1
175,1.7,1.0,1
176,2.6,1.0,1
177,5.0,1.0,1
178,5.6,1.0,1
179,6.0,1.0,0
180,6.1,1.0,0
182,6.7,1.1,1
183,8.1,1.1,0
185,0.2,1.3,0
187,8.1,1.4,1
188,0.6,1.5,0
190,8.1,1.6,1
191,0.5,2.0,0
192,4.2,2.0,1
193,0.3,2.1,0
194,4.1,2.2,1
195,6.1,2.3,1
196,0.7,2.7,0
197,0.8,2.8,1
198,0.9,2.8,1
199,0.8,3.0,0
201,0.5,3.6,0
202,0.9,3.8,0
203,3.6,3.8,1
204,0.9,4.1,0
205,0.9,4.3,0
206,1.0,4.4,0
207,8.1,4.6,1
208,0.1,4.7,0
209,0.7,4.8,0
211,1.1,4.9,1
212,1.2,5.6,0
213,1.2,5.8,0
214,1.3,5.8,1
215,1.4,6.2,1
216,1.4,6.3,0
217,1.0,6.5,0
218,1.6,6.7,1
219,2.8,6.7,1
220,4.2,6.8,1
221,1.9,7.8,1
222,2.0,8.0,1
223,0.9,8.1,0
225,1.7,8.1,0
227,2.0,8.1,0
229,2.9,8.1,1
230,4.0,8.1,1
231,7.5,8.1,1
