,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase_0_probability,Phase_1_probability
0,0.7,0.5,0.5416396149368268,0.4583603850631732
1,0.8,0.5,0.5129670460003766,0.48703295399962343
2,0.9,0.5,0.4897788267306957,0.5102211732693043
3,1.0,0.5,0.47243293222379634,0.5275670677762037
4,1.1,0.5,0.46104601979055815,0.5389539802094419
5,1.2,0.5,0.4555934817970382,0.5444065182029618
6,1.3,0.5,0.45598610626656466,0.5440138937334353
7,1.4,0.5,0.4621141057550915,0.5378858942449085
8,1.5,0.5,0.47385878382423385,0.5261412161757661
9,1.6,0.5,0.4910761175614695,0.5089238824385305
10,1.7,0.5,0.5135580765976755,0.4864419234023245
11,1.8,0.5,0.5409791778178601,0.4590208221821399
12,0.6,0.6,0.5497845851093217,0.4502154148906783
13,0.7,0.6,0.5034930916494975,0.4965069083505025
14,0.8,0.6,0.4622294002707861,0.5377705997292139
15,2.2,0.6,0.4780304463013323,0.5219695536986677
16,2.3,0.6,0.5161405032341584,0.4838594967658416
17,0.6,0.7,0.527340262423813,0.47265973757618696
18,0.7,0.7,0.4684424880452127,0.5315575119547873
19,2.8,0.7,0.4758878858056548,0.5241121141943452
20,2.9,0.7,0.5223599926790001,0.47764000732099987
21,0.6,0.8,0.5084006686604337,0.49159933133956635
22,3.4,0.8,0.4518613836228269,0.5481386163771731
23,3.5,0.8,0.5001333274512032,0.49986667254879674
24,3.6,0.8,0.5495700920521358,0.4504299079478642
25,0.6,0.9,0.49337602756325083,0.5066239724367492
26,4.2,0.9,0.47568324001072426,0.5243167599892757
27,4.3,0.9,0.5221864112366319,0.4778135887633681
28,0.6,1.0,0.48248320771969233,0.5175167922803077
29,5.1,1.0,0.46444348993088624,0.5355565100691138
30,5.2,1.0,0.5034737695826363,0.49652623041736366
31,5.3,1.0,0.5417333822044839,0.45826661779551614
32,0.6,1.1,0.47579773530843283,0.5242022646915672
33,6.4,1.1,0.4644352024516394,0.5355647975483606
34,6.5,1.1,0.4875529601864734,0.5124470398135266
35,6.6,1.1,0.5092296647061225,0.4907703352938775
36,6.7,1.1,0.5293479625623831,0.47065203743761685
37,6.8,1.1,0.5478302170311053,0.45216978296889465
38,0.6,1.2,0.47330672270230423,0.5266932772976958
39,0.6,1.3,0.47495066316055556,0.5250493368394444
40,0.6,1.4,0.4806496486902816,0.5193503513097184
41,0.6,1.5,0.49031426893049357,0.5096857310695064
42,0.6,1.6,0.5038434541340697,0.4961565458659303
43,0.6,1.7,0.5211120206878377,0.4788879793121623
44,0.6,1.8,0.5419507400826831,0.45804925991731693
45,0.7,2.3,0.4675193038547434,0.5324806961452566
46,0.7,2.4,0.4989981654027058,0.5010018345972942
47,0.7,2.5,0.5335541232063434,0.46644587679365657
48,0.8,3.0,0.46545865759334504,0.534541342406655
49,0.8,3.1,0.5084385049198232,0.49156149508017677
50,0.9,3.7,0.49311256383831825,0.5068874361616817
51,0.9,3.8,0.5442412278876247,0.45575877211237525
52,1.0,4.3,0.4916065355196526,0.5083934644803474
53,1.0,4.4,0.5465478103969588,0.45345218960304123
54,1.1,4.8,0.4505121022855292,0.5494878977144708
55,1.1,4.9,0.5070151163341574,0.4929848836658426
56,1.2,5.4,0.48295879521239016,0.5170412047876098
57,1.2,5.5,0.5388374519861543,0.4611625480138457
58,1.3,5.9,0.47653523685823984,0.5234647631417602
59,1.3,6.0,0.5295284253474435,0.4704715746525565
60,1.4,6.4,0.4853169858748032,0.5146830141251968
61,1.4,6.5,0.5327933880575415,0.4672066119424585
62,1.5,6.8,0.45958671343129254,0.5404132865687075
63,1.5,6.9,0.5027526224830234,0.49724737751697656
64,1.5,7.0,0.5427735646861152,0.45722643531388485
65,1.6,7.3,0.48602560069074485,0.5139743993092551
66,1.6,7.4,0.5208723715242058,0.47912762847579415
67,1.7,7.7,0.4777253100043666,0.5222746899956334
68,1.7,7.8,0.5062408398718024,0.49375916012819765
69,1.7,7.9,0.5308418280959515,0.4691581719040485
70,1.8,8.1,0.47374844581774767,0.5262515541822523
