,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Phase_0_probability,Phase_1_probability
0,0.1,0.1,0,0.6946586300862236,0.30534136991377636
1,0.2,0.1,0,0.6860987280791164,0.3139012719208836
2,0.3,0.1,0,0.680494194958726,0.319505805041274
3,0.4,0.1,0,0.6784247849994358,0.3215752150005642
4,0.5,0.1,0,0.6803508578316269,0.31964914216837315
5,0.6,0.1,0,0.6865718343969434,0.31342816560305664
6,0.7,0.1,0,0.6971920499298676,0.3028079500701324
7,0.8,0.1,0,0.7120947650989251,0.2879052349010749
8,0.9,0.1,0,0.7309263510473443,0.26907364895265573
9,1.0,0.1,0,0.7530952979226981,0.24690470207730186
10,1.1,0.1,0,0.7777929464717772,0.2222070535282228
11,1.2,0.1,0,0.8040423485231258,0.19595765147687416
12,1.3,0.1,0,0.8307767067284431,0.16922329327155694
13,1.4,0.1,0,0.8569398561706976,0.14306014382930243
14,1.5,0.1,0,0.8815916363236056,0.1184083636763944
15,1.6,0.1,0,0.9039960317787745,0.09600396822122548
16,1.7,0.1,0,0.9236734753101246,0.07632652468987544
17,1.8,0.1,0,0.9404097520806545,0.05959024791934553
18,1.9,0.1,0,0.9542267380145404,0.04577326198545961
19,2.0,0.1,0,0.9653283904815453,0.034671609518454716
20,2.1,0.1,0,0.9740368212623025,0.02596317873769749
21,2.2,0.1,0,0.9807304175587888,0.01926958244121124
22,2.3,0.1,0,0.9857922449936041,0.014207755006395928
23,2.4,0.1,0,0.9895735641955525,0.010426435804447465
24,2.5,0.1,0,0.9923737871880576,0.007626212811942423
25,2.6,0.1,0,0.9944346971980167,0.005565302801983307
26,2.7,0.1,0,0.9959443663786942,0.0040556336213057875
27,2.8,0.1,0,0.9970457731760689,0.0029542268239310943
28,2.9,0.1,0,0.9978463222639675,0.0021536777360324777
29,3.0,0.1,0,0.9984262348530137,0.0015737651469862612
30,3.1,0.1,0,0.9988451949182036,0.0011548050817964395
31,3.2,0.1,0,0.9991473914693643,0.0008526085306357345
32,3.3,0.1,0,0.9993653244571306,0.000634675542869445
33,3.4,0.1,0,0.9995227080762561,0.0004772919237439055
34,3.5,0.1,0,0.9996367051666084,0.00036329483339159196
35,3.6,0.1,0,0.9997196455877884,0.00028035441221163637
36,3.7,0.1,0,0.9997803349161813,0.00021966508381865424
37,3.8,0.1,0,0.9998250363400984,0.00017496365990155027
38,3.9,0.1,0,0.9998581953565235,0.00014180464347646193
39,4.0,0.1,0,0.9998829664828008,0.000117033517199161
40,4.1,0.1,0,0.9999015911046172,9.840889538281772e-05
41,4.2,0.1,0,0.9999156657817139,8.433421828613064e-05
42,4.3,0.1,0,0.99992633135696,7.366864304003684e-05
43,4.4,0.1,0,0.9999344055941037,6.55944058962632e-05
44,4.5,0.1,0,0.9999404759305435,5.9524069456529105e-05
45,4.6,0.1,0,0.9999449642422178,5.503575778220693e-05
46,4.7,0.1,0,0.9999481720063841,5.182799361591606e-05
47,4.8,0.1,0,0.9999503117338691,4.968826613094279e-05
48,4.9,0.1,0,0.9999515287370286,4.8471262971361284e-05
49,5.0,0.1,0,0.9999519160267027,4.808397329725267e-05
50,5.1,0.1,0,0.99995152426186,4.847573814004136e-05
51,5.2,0.1,0,0.9999503680411408,4.963195885920868e-05
52,5.3,0.1,0,0.9999484293967953,5.157060320470919e-05
53,5.4,0.1,0,0.9999456590486488,5.434095135115058e-05
54,5.5,0.1,0,0.9999419757427859,5.802425721412874e-05
55,5.6,0.1,0,0.9999372638270643,6.273617293572897e-05
56,5.7,0.1,0,0.9999313690984764,6.863090152364748e-05
57,5.8,0.1,0,0.9999240928201516,7.590717984840012e-05
58,5.9,0.1,0,0.9999151836979081,8.481630209189461e-05
59,6.0,0.1,0,0.999904327517811,9.567248218900204e-05
60,6.1,0.1,0,0.9998911339838514,0.00010886601614856772
61,6.2,0.1,0,0.9998751201696905,0.00012487983030951
62,6.3,0.1,0,0.9998556898131028,0.00014431018689720077
63,6.4,0.1,0,0.9998321074253909,0.00016789257460914087
64,6.5,0.1,0,0.9998034659170116,0.0001965340829883644
65,6.6,0.1,0,0.9997686460168325,0.00023135398316753708
66,6.7,0.1,0,0.9997262652755126,0.00027373472448743996
67,6.8,0.1,0,0.9996746137584296,0.0003253862415704134
68,6.9,0.1,0,0.9996115726903554,0.00038842730964461225
69,7.0,0.1,0,0.9995345112155292,0.0004654887844708355
70,7.1,0.1,0,0.9994401550331986,0.0005598449668013927
71,7.2,0.1,0,0.9993244189668076,0.0006755810331924295
72,7.3,0.1,0,0.9991821934036125,0.000817806596387527
73,7.4,0.1,0,0.9990070720866697,0.000992927913330277
74,7.5,0.1,0,0.9987910059402338,0.0012089940597661553
75,7.6,0.1,0,0.9985238647041115,0.0014761352958885254
76,7.7,0.1,0,0.9981928854800799,0.0018071145199201055
77,7.8,0.1,0,0.9977819855689631,0.0022180144310368632
78,7.9,0.1,0,0.9972709172983514,0.002729082701648622
79,8.0,0.1,0,0.9966342466658489,0.0033657533341511225
80,8.1,0.1,0,0.9958401479802887,0.004159852019711252
81,0.1,0.2,0,0.7094180883495937,0.29058191165040625
82,0.2,0.2,0,0.6936662026807312,0.3063337973192688
83,0.3,0.2,0,0.6800229464798235,0.31997705352017647
84,0.4,0.2,0,0.669275149724001,0.33072485027599896
85,0.5,0.2,0,0.6621298502282116,0.3378701497717884
86,0.6,0.2,0,0.6591632815702155,0.34083671842978447
87,0.7,0.2,0,0.6607834456698356,0.3392165543301644
88,0.8,0.2,0,0.6672052689992256,0.3327947310007744
89,0.9,0.2,0,0.6784342835777011,0.3215657164222989
90,1.0,0.2,0,0.6942551360713196,0.3057448639286804
91,1.1,0.2,0,0.7142247670541337,0.28577523294586626
92,1.2,0.2,0,0.7376750592129611,0.26232494078703894
93,1.3,0.2,0,0.7637335396543108,0.2362664603456892
94,1.4,0.2,0,0.7913707226672386,0.20862927733276138
95,1.5,0.2,0,0.8194772906463186,0.18052270935368142
96,1.6,0.2,0,0.8469642637828656,0.1530357362171344
97,1.7,0.2,0,0.8728684985071595,0.12713150149284047
