Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Phase
0.1,0.1,50.0,0
0.1,0.1,300.0,1
0.1,0.1,650.0,0
0.1,0.1,750.0,0
0.1,0.1,975.0,0
0.1,0.1,1050.0,1
0.1,0.1,1575.0,0
0.1,0.1,2050.0,0
0.2,0.1,725.0,0
0.3,0.1,875.0,0
0.7,0.1,50.0,0
1.2,0.1,1000.0,0
2.0,0.1,500.0,0
2.1,0.1,375.0,0
2.9,0.1,500.0,0
2.9,0.1,825.0,0
3.2,0.1,350.0,0
3.3,0.1,325.0,0
3.3,0.1,575.0,0
3.4,0.1,750.0,0
3.4,0.1,825.0,0
3.5,0.1,775.0,0
4.3,0.1,50.0,0
4.5,0.1,50.0,0
4.7,0.1,900.0,0
4.8,0.1,900.0,1
5.0,0.1,625.0,0
5.0,0.1,950.0,0
5.1,0.1,550.0,0
5.1,0.1,1000.0,0
5.9,0.1,1025.0,1
6.5,0.1,1500.0,0
6.9,0.1,225.0,0
7.2,0.1,850.0,0
7.6,0.1,675.0,0
7.7,0.1,2050.0,0
7.8,0.1,725.0,0
8.1,0.1,50.0,0
8.1,0.1,450.0,0
8.1,0.1,700.0,0
8.1,0.1,725.0,0
8.1,0.1,775.0,0
8.1,0.1,850.0,0
8.1,0.1,875.0,0
8.1,0.1,1075.0,1
8.1,0.1,1100.0,0
8.1,0.1,1225.0,0
1.9,0.2,425.0,0
2.0,0.2,500.0,0
2.0,0.2,775.0,0
2.4,0.2,1050.0,0
2.7,0.2,625.0,0
3.8,0.2,100.0,0
4.0,0.2,900.0,0
4.5,0.2,625.0,0
4.8,0.2,825.0,0
5.3,0.2,450.0,0
5.3,0.2,500.0,0
5.3,0.2,825.0,0
5.8,0.2,675.0,0
6.0,0.2,625.0,0
7.1,0.2,425.0,0
0.1,0.3,475.0,0
1.8,0.3,825.0,1
2.5,0.3,375.0,0
2.6,0.3,925.0,1
3.8,0.3,950.0,1
5.0,0.3,400.0,0
5.0,0.3,875.0,1
5.7,0.3,450.0,0
6.1,0.3,375.0,1
6.6,0.3,975.0,0
7.7,0.3,450.0,0
8.1,0.3,675.0,1
0.1,0.4,325.0,1
0.2,0.4,925.0,0
0.6,0.4,900.0,0
1.6,0.4,925.0,0
2.5,0.4,200.0,1
2.6,0.4,575.0,1
2.6,0.4,925.0,1
2.8,0.4,1400.0,0
3.9,0.4,1875.0,0
5.2,0.4,400.0,0
5.7,0.4,950.0,1
5.9,0.4,1075.0,0
7.1,0.4,675.0,0
8.1,0.4,950.0,1
0.1,0.5,550.0,1
0.7,0.5,950.0,1
2.7,0.5,250.0,1
3.9,0.5,275.0,1
4.9,0.5,300.0,1
6.1,0.5,375.0,1
6.6,0.5,1175.0,0
8.1,0.5,400.0,1
0.1,0.6,925.0,1
2.8,0.6,50.0,0
4.4,0.6,225.0,1
4.6,0.6,325.0,1
4.7,0.6,50.0,0
5.4,0.6,1100.0,0
8.1,0.6,575.0,1
8.1,0.6,1050.0,1
0.1,0.7,125.0,0
3.5,0.7,1175.0,0
3.9,0.7,450.0,1
4.8,0.7,1150.0,1
8.1,0.7,1325.0,0
0.1,0.8,900.0,1
0.2,0.8,575.0,1
1.1,0.8,1075.0,1
1.3,0.8,50.0,1
4.4,0.8,1175.0,1
5.1,0.8,1175.0,1
6.3,0.8,250.0,1
7.3,0.8,225.0,1
8.1,0.8,50.0,0
8.1,0.8,850.0,1
0.1,0.9,200.0,0
1.6,0.9,125.0,1
2.0,0.9,100.0,1
2.2,0.9,300.0,1
2.5,0.9,625.0,1
4.5,0.9,125.0,0
6.8,0.9,250.0,1
8.1,0.9,200.0,1
8.1,0.9,1225.0,0
0.1,1.0,275.0,1
0.1,1.0,1200.0,1
0.1,1.0,1225.0,0
2.3,1.0,1175.0,0
3.0,1.0,75.0,0
3.5,1.0,1025.0,1
5.2,1.0,550.0,1
8.1,1.0,950.0,1
1.4,1.1,750.0,1
5.8,1.1,375.0,1
7.3,1.1,225.0,1
7.4,1.1,250.0,1
0.1,1.2,375.0,0
0.1,1.2,1350.0,0
0.5,1.2,1200.0,0
0.9,1.2,50.0,1
1.0,1.2,400.0,1
4.1,1.2,1325.0,0
5.1,1.2,50.0,0
6.9,1.2,175.0,1
8.1,1.2,175.0,1
0.1,1.3,400.0,1
0.6,1.3,50.0,0
1.0,1.3,650.0,1
1.1,1.3,1100.0,0
2.9,1.3,50.0,0
6.3,1.3,1025.0,1
8.1,1.3,1225.0,0
0.1,1.4,825.0,1
0.3,1.4,1375.0,0
4.6,1.4,50.0,0
5.3,1.4,1250.0,0
5.9,1.4,1350.0,0
6.7,1.4,1300.0,0
8.1,1.4,225.0,1
1.7,1.5,950.0,1
