Barcode,Cycle,Avg_Particle_Size
744242UUQAS7,cycle_0,0.0
847884ALPTXP,cycle_0,0.0
555758GK3SKH,cycle_0,0.0
778465NCKGVC,cycle_0,3044.7486033519554
7877253DOW44,cycle_0,2123.7994910941475
745615WX1LS9,cycle_0,0.0
567827UCUC6R,cycle_0,8349.561142857143
847771QKBJMX,cycle_0,6254.3142144638405
446511X6KWYE,cycle_1,1309.1717277486912
7788798SQB2A,cycle_1,620.8521739130434
515844RPTDBA,cycle_1,1683.0095785440612
676717QE0RJI,cycle_1,1189.0518378887841
818262JHNEUZ,cycle_1,662.3103448275862
715852NNGWQK,cycle_1,618.0952380952381
1987185ESEDD,cycle_1,0.0
549514H418CL,cycle_1,656.0
823888UYLLCY,cycle_2,1052.5
713187OHPSPQ,cycle_2,602.0
722623IF3CMM,cycle_2,1377.7358490566037
3535331ZXNJY,cycle_2,0.0
7688837R8OM2,cycle_2,847.1010830324909
3618270EP2XG,cycle_2,0.0
125776SGCP4L,cycle_2,676.4881516587677
738838R0OLVX,cycle_2,0.0
147555M5XKXB,cycle_3,1763.730215827338
147794BD2PB6,cycle_3,1055.4744121715075
059459H2BR9X,cycle_3,688.3157894736842
5877478P739G,cycle_3,1299.7754114230397
971592E1JDO4,cycle_3,1335.185370741483
598504JMIP51,cycle_3,1355.0898803750404
5715559Z66ED,cycle_3,948.9112426035502
447517BM8W9W,cycle_3,781.9165978530141
0017810X5XYU,cycle_4,0.0
606100AF2HW2,cycle_4,608.4615384615385
207008FLBGSM,cycle_4,605.88
220622PMUDBT,cycle_4,612.6382978723404
7178647NT4LW,cycle_4,0.0
82086193NYX5,cycle_4,0.0
477410YCWMMN,cycle_4,0.0
760612ALQT4I,cycle_4,934.5785123966942
182136I3CALS,cycle_5,0.0
374224J9S07R,cycle_5,586.8571428571429
27361829NW5J,cycle_5,536.0
364862WNII85,cycle_5,642.3235294117648
626176ICGRDA,cycle_5,0.0
318127466OF9,cycle_5,0.0
712724JORI61,cycle_5,586.2666666666667
47776380A79C,cycle_5,1265.5
176777O1ISPI,cycle_6,515.0
882244WDRXQK,cycle_6,0.0
617412DC3Z9Z,cycle_6,0.0
742421AV56X8,cycle_6,552.0
722222VU9NT0,cycle_6,0.0
822477E6RLC5,cycle_6,646.348623853211
242726LWGRFM,cycle_6,670.195652173913
4176143XNXEY,cycle_6,631.9
778027595CQ1,cycle_7,586.1333333333333
171166L52ERZ,cycle_7,622.9166666666666
162061ESXPW6,cycle_7,0.0
7187616PH0X7,cycle_7,0.0
012728PA2PIA,cycle_7,0.0
818227UD1ZPJ,cycle_7,513.0
7868169T4AVJ,cycle_7,623.4444444444445
67666007L8GQ,cycle_7,0.0
187868L379DI,cycle_8,0.0
797717JPP8IX,cycle_8,0.0
876182BOV2TM,cycle_8,0.0
971268OJ6EA6,cycle_8,0.0
189716ZXDUXK,cycle_8,692.464135021097
191729RLKWY7,cycle_8,1045.0
9897723FWUIT,cycle_8,0.0
129867DFR7SU,cycle_8,570.2666666666667
