Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase_x,Phase_y,Conc_HEPES_(mM),pH,Conc_Dye_Cy5_AP_Lys_100_(mM),Conc_Dye_FITC_AP_Asp_200_(mM),Plate_Barcode,Plate_Position,Preparation_Date,Experiment_Code,Mixing_Volume,Final_Volume,Barcode,Conc_NaCl_(mM),Experiment_ID
0.1,0.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,744242UUQAS7,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
8.1,0.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,C4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,847884ALPTXP,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.4,0.2,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,E8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,7178647NT4LW,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
5.5,0.4,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,E5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,1987185ESEDD,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.7,0.5,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,F9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,374224J9S07R,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
2.3,0.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,F10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,742421AV56X8,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
8.1,0.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,F6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,3535331ZXNJY,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.2,0.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,H12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,189716ZXDUXK,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.3,0.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,H11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,171166L52ERZ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
2.4,0.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,F7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,447517BM8W9W,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
2.6,0.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,C12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,129867DFR7SU,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
2.7,0.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,C11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,7868169T4AVJ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
