Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase_x,Phase_y,Conc_HEPES_(mM),pH,Conc_Dye_Cy5_AP_Lys_100_(mM),Conc_Dye_FITC_AP_Asp_200_(mM),Plate_Barcode,Plate_Position,Preparation_Date,Experiment_Code,Mixing_Volume,Final_Volume,Barcode,Conc_NaCl_(mM),Experiment_ID,Conc_AP_Asp_100_(mM),Conc_AP_Asp_30_(mM),Conc_AP_Lys_250_(mM),Conc_Dye_Cy5_AP_Lys_250_(mM),Conc_AP_Lys_20_(mM),Conc_Dye_Cy5_AP_Lys_20_(mM)
0.1,0.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,B9,2024-10-07 08:20:03,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,282778TY5V6Z,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,H11,2024-10-07 09:56:36,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,8828814EGIA9,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,E10,2024-10-07 09:01:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,483781TBTDW2,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,C9,2024-10-07 08:20:03,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,281781DA5YW2,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.3,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,E11,2024-10-07 09:56:36,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,612862DVCDWQ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.4,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,C12,2024-10-07 10:27:56,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,2488726TVXWW,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.6,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,H5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,36380675W586,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.6,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,F6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,283213RCRWY0,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,G1,2024-10-07 11:02:35,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,928282AVB2LA,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,B3,2024-10-07 12:09:39,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,295987ZF5JNI,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,G3,2024-10-07 12:09:39,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,9289254BW7UX,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,G4,2024-10-07 14:06:19,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,820782SWZYZE,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,A2,2024-10-07 11:39:08,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,218299HUPUQS,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,A1,2024-10-07 11:02:35,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,227492ON58KN,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,A4,2024-10-07 14:06:19,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,717877NH60TI,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,B12,2024-10-07 10:27:56,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,88899922AU1F,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,C3,2024-10-07 12:09:39,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,288178531ZKU,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,A5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,917447S14W7V,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.9,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,E1,2024-10-07 11:02:35,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,1472276TLJHT,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0.9,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,D4,2024-10-07 14:06:19,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,187787G104G9,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.9,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,D6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,1620006LV8J1,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0.9,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,E2,2024-10-07 11:39:08,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,26323283NC56,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.6,1.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,E5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,20299640FZAE,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,A11,2024-10-07 09:56:36,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,818612NYXE8N,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
