Barcode,Cycle,Particle_Count
744242UUQAS7,cycle_0,0
847884ALPTXP,cycle_0,0
555758GK3SKH,cycle_0,0
778465NCKGVC,cycle_0,895
7877253DOW44,cycle_0,1965
745615WX1LS9,cycle_0,0
567827UCUC6R,cycle_0,875
847771QKBJMX,cycle_0,1203
446511X6KWYE,cycle_1,1910
7788798SQB2A,cycle_1,115
515844RPTDBA,cycle_1,522
676717QE0RJI,cycle_1,1061
818262JHNEUZ,cycle_1,29
715852NNGWQK,cycle_1,21
1987185ESEDD,cycle_1,0
549514H418CL,cycle_1,3
823888UYLLCY,cycle_2,2
713187OHPSPQ,cycle_2,7
722623IF3CMM,cycle_2,689
3535331ZXNJY,cycle_2,0
7688837R8OM2,cycle_2,554
3618270EP2XG,cycle_2,0
125776SGCP4L,cycle_2,211
738838R0OLVX,cycle_2,0
147555M5XKXB,cycle_3,3058
147794BD2PB6,cycle_3,723
059459H2BR9X,cycle_3,76
5877478P739G,cycle_3,1033
971592E1JDO4,cycle_3,998
598504JMIP51,cycle_3,3093
5715559Z66ED,cycle_3,507
447517BM8W9W,cycle_3,1211
0017810X5XYU,cycle_4,0
606100AF2HW2,cycle_4,13
207008FLBGSM,cycle_4,25
220622PMUDBT,cycle_4,47
7178647NT4LW,cycle_4,0
82086193NYX5,cycle_4,0
477410YCWMMN,cycle_4,0
760612ALQT4I,cycle_4,242
182136I3CALS,cycle_5,0
374224J9S07R,cycle_5,7
27361829NW5J,cycle_5,5
364862WNII85,cycle_5,34
626176ICGRDA,cycle_5,0
318127466OF9,cycle_5,0
712724JORI61,cycle_5,15
47776380A79C,cycle_5,2
176777O1ISPI,cycle_6,1
882244WDRXQK,cycle_6,0
617412DC3Z9Z,cycle_6,0
742421AV56X8,cycle_6,7
722222VU9NT0,cycle_6,0
822477E6RLC5,cycle_6,109
242726LWGRFM,cycle_6,138
4176143XNXEY,cycle_6,10
778027595CQ1,cycle_7,15
171166L52ERZ,cycle_7,96
162061ESXPW6,cycle_7,0
7187616PH0X7,cycle_7,0
012728PA2PIA,cycle_7,0
818227UD1ZPJ,cycle_7,1
7868169T4AVJ,cycle_7,9
67666007L8GQ,cycle_7,0
187868L379DI,cycle_8,0
797717JPP8IX,cycle_8,0
876182BOV2TM,cycle_8,0
971268OJ6EA6,cycle_8,0
189716ZXDUXK,cycle_8,237
191729RLKWY7,cycle_8,3
9897723FWUIT,cycle_8,0
129867DFR7SU,cycle_8,15
